"fecha","chalaco","chusis","huamarca","huancabamba","miraflores"
"1981-01-01",23.5631008148193,31.1974029541016,25.4871444702148,30.4752025604248,33.2021713256836
"1981-02-01",22.2603816986084,32.4782409667969,23.9278545379639,29.8402996063232,34.0783538818359
"1981-03-01",23.8898811340332,31.7285919189453,25.2155132293701,30.2097263336182,33.7623405456543
"1981-04-01",24.1034870147705,30.6562614440918,25.0917911529541,29.8148803710938,32.1768264770508
"1981-05-01",23.7472114562988,28.1967468261719,24.7086410522461,28.8561954498291,29.4451484680176
"1981-06-01",23.7482204437256,26.4911499023438,24.5649929046631,27.904426574707,27.7346744537354
"1981-07-01",23.4346084594727,25.166898727417,24.2337017059326,27.2623882293701,26.9828910827637
"1981-08-01",24.3360042572021,24.939037322998,25.202127456665,27.6536827087402,27.0488948822021
"1981-09-01",24.4580326080322,26.6591377258301,25.98264503479,29.3595161437988,28.9499530792236
"1981-10-01",24.5966129302979,27.7844753265381,26.1032943725586,29.8480129241943,29.8231601715088
"1981-11-01",25.4250793457031,28.1566371917725,26.7281818389893,30.5074729919434,30.4054126739502
"1981-12-01",23.8548164367676,30.0183086395264,25.6803798675537,30.9791564941406,32.2364196777344
"1982-01-01",23.010425567627,31.5367641448975,25.0340976715088,30.516206741333,33.4671096801758
"1982-02-01",23.1835880279541,32.5044593811035,24.9000015258789,30.227725982666,34.0886421203613
"1982-03-01",24.0336894989014,31.7068996429443,25.4311008453369,30.1848964691162,33.6545562744141
"1982-04-01",23.5539073944092,30.4662322998047,24.7020874023438,29.4529094696045,31.8123683929443
"1982-05-01",23.0986099243164,28.6572360992432,24.2597236633301,29.0381660461426,29.7695484161377
"1982-06-01",23.9629497528076,26.922420501709,24.7944755554199,28.5717372894287,28.5500011444092
"1982-07-01",24.0725784301758,26.2776851654053,24.8914051055908,28.2870635986328,28.070276260376
"1982-08-01",24.2563209533691,25.845682144165,25.5888061523438,28.3477802276611,27.8468399047852
"1982-09-01",24.4292240142822,27.6570510864258,25.9095497131348,29.6553802490234,29.648250579834
"1982-10-01",24.8111782073975,28.4640598297119,26.2472229003906,30.3568725585938,30.8649063110352
"1982-11-01",24.9668674468994,29.6970500946045,26.8919486999512,31.2224540710449,31.7475433349609
"1982-12-01",23.3140316009521,31.4204540252686,25.2834873199463,31.4759006500244,33.1933746337891
"1983-01-01",23.2443656921387,32.0930633544922,25.2558002471924,30.9726982116699,33.6453514099121
"1983-02-01",23.4255332946777,33.6851234436035,25.233154296875,29.9284267425537,34.215217590332
"1983-03-01",24.625768661499,32.6472129821777,26.1339054107666,31.1592655181885,34.3932838439941
"1983-04-01",24.5112533569336,31.2687454223633,25.8362789154053,30.2806854248047,32.613151550293
"1983-05-01",24.700159072876,31.1974334716797,25.9892826080322,30.1443500518799,31.6200218200684
"1983-06-01",24.732027053833,28.3691387176514,25.4370937347412,29.725154876709,30.2716484069824
"1983-07-01",24.9764347076416,27.8682422637939,25.7837905883789,29.6737747192383,29.9537010192871
"1983-08-01",24.5628261566162,26.9274139404297,25.875602722168,29.3945350646973,29.1724987030029
"1983-09-01",24.0827693939209,27.3013229370117,26.1272163391113,29.3274364471436,29.3500308990479
"1983-10-01",24.2830009460449,27.307487487793,25.8957042694092,29.7580738067627,29.7410697937012
"1983-11-01",24.9154987335205,28.2387866973877,26.5331974029541,30.6145648956299,30.6781215667725
"1983-12-01",22.5926265716553,30.0800952911377,24.3987503051758,30.5476264953613,32.0383338928223
"1984-01-01",23.9089889526367,31.8357067108154,25.3794994354248,30.3875045776367,33.745849609375
"1984-02-01",22.0058631896973,32.3174438476562,23.9175224304199,29.6890411376953,34.0369071960449
"1984-03-01",23.3864307403564,31.3272304534912,24.6590423583984,29.7576847076416,33.3163948059082
"1984-04-01",23.2150173187256,30.7243747711182,24.1544132232666,29.5334205627441,31.9290046691895
"1984-05-01",22.7259044647217,28.2294635772705,23.8831100463867,29.0058746337891,29.6155223846436
"1984-06-01",22.6775894165039,26.2969608306885,23.9256591796875,27.8835048675537,27.9612331390381
"1984-07-01",22.7202529907227,25.3891487121582,23.6462383270264,27.4230937957764,27.0758743286133
"1984-08-01",23.8628463745117,25.3769435882568,24.8777332305908,27.8719120025635,27.2977676391602
"1984-09-01",23.896541595459,26.3627452850342,25.2131214141846,28.6219158172607,28.2561225891113
"1984-10-01",24.4426860809326,27.2504730224609,26.033763885498,29.8753204345703,29.6977195739746
"1984-11-01",24.6270599365234,27.6484222412109,26.2010860443115,30.0589637756348,30.2174167633057
"1984-12-01",23.609561920166,30.1464557647705,25.502986907959,30.9750843048096,32.3643417358398
"1985-01-01",22.7906455993652,30.8558616638184,24.1466121673584,29.8413410186768,32.7979164123535
"1985-02-01",22.6835956573486,32.5961494445801,24.4691047668457,30.0858459472656,34.3713607788086
"1985-03-01",24.0432090759277,31.8682804107666,25.4165802001953,30.2836799621582,33.8170318603516
"1985-04-01",23.9571418762207,30.173620223999,24.8543872833252,29.4681282043457,31.7071971893311
"1985-05-01",23.5851783752441,27.5924129486084,24.5581855773926,28.5018978118896,29.1225986480713
"1985-06-01",23.9087257385254,26.3618068695068,24.9183921813965,28.0861186981201,27.9684085845947
"1985-07-01",23.0579586029053,24.7645797729492,23.911003112793,27.0040950775146,26.6059341430664
"1985-08-01",23.5103721618652,24.5966339111328,24.6042900085449,27.4312992095947,26.7455577850342
"1985-09-01",24.7513217926025,26.2018547058105,25.9428768157959,29.0637016296387,28.5889492034912
"1985-10-01",24.9494152069092,26.607250213623,26.1039409637451,29.4306564331055,29.1325645446777
