 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
        jday         mon         day          yr name          type   objtyp      typ_no hyd_typ fraction              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
                                                                                                                     m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
         366          12          31        2008 aqu10           aqu     ru                 1 rhg   1.000000       3216768.      0.0000000E+00  0.0000000E+00  0.0000000E+00   51831.21      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         366          12          31        2008 aqu_deep01      aqu     aqu                1 rhg   1.000000       160838.4      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1161419      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         366          12          31        2008 cha1            chandeg ru                 1 tot   1.000000       1050617.       10.08132       10.31898       2.309241       110.7832       482.7846      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   5.760569       8.325179      0.2212230       2.102057       1.696606      0.0000000E+00  0.0000000E+00
         366          12          31        2008 cha1            chandeg aqu                1 tot   1.000000       2260788.      0.0000000E+00  0.0000000E+00  0.0000000E+00   1.636664      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2009 aqu10           aqu     ru                 1 rhg   1.000000       5044195.      0.0000000E+00  0.0000000E+00  0.0000000E+00   101094.7      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2009 aqu_deep01      aqu     aqu                1 rhg   1.000000       252209.8      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2092670      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2009 cha1            chandeg ru                 1 tot   1.000000       1960633.       13.31380       11.94926       2.595468       63.27264       1076.319      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   8.041805       8.515919      0.3034895       2.925719       2.362195      0.0000000E+00  0.0000000E+00
         365          12          31        2009 cha1            chandeg aqu                1 tot   1.000000       3964526.      0.0000000E+00  0.0000000E+00  0.0000000E+00   3.331342      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2010 aqu10           aqu     ru                 1 rhg   1.000000       5941791.      0.0000000E+00  0.0000000E+00  0.0000000E+00   104594.9      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2010 aqu_deep01      aqu     aqu                1 rhg   1.000000       297089.6      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2545774      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2010 cha1            chandeg ru                 1 tot   1.000000       1325222.       10.91219       9.553599       2.212456       278.9651       778.7848      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   5.924533       8.353253      0.2268873       2.159289       1.743669      0.0000000E+00  0.0000000E+00
         365          12          31        2010 cha1            chandeg aqu                1 tot   1.000000       5514148.      0.0000000E+00  0.0000000E+00  0.0000000E+00   4.713447      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2011 aqu10           aqu     ru                 1 rhg   1.000000       1463322.      0.0000000E+00  0.0000000E+00  0.0000000E+00   14217.93      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2011 aqu_deep01      aqu     aqu                1 rhg   1.000000       73166.09      0.0000000E+00  0.0000000E+00  0.0000000E+00  6.1680987E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2011 cha1            chandeg ru                 1 tot   1.000000       448470.3       7.989957       7.945704       1.939425       20.20396       148.7401      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   4.064721       8.217553      0.1596724       1.486492       1.200216      0.0000000E+00  0.0000000E+00
         365          12          31        2011 cha1            chandeg aqu                1 tot   1.000000       1116488.      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.9402252      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         366          12          31        2012 aqu10           aqu     ru                 1 rhg   1.000000       1544949.      0.0000000E+00  0.0000000E+00  0.0000000E+00   1349.278      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         366          12          31        2012 aqu_deep01      aqu     aqu                1 rhg   1.000000       77247.45      0.0000000E+00  0.0000000E+00  0.0000000E+00  6.2696740E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         366          12          31        2012 cha1            chandeg ru                 1 tot   1.000000       555176.9       8.603879       8.311913       1.939687       44.62569       218.4588      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   4.501376       7.664618      0.1754649       1.644206       1.327523      0.0000000E+00  0.0000000E+00
         366          12          31        2012 cha1            chandeg aqu                1 tot   1.000000       489687.7      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.3902194      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
