 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwtranq       satex  satex_chan   sw_change     lagsurf     laglatq   lagsatex 
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   366    12    31  2012      17      17  hru17               1046.174       0.000       0.000      13.238       0.902      14.140      21.881    1002.488      90.415     909.626       2.447      13.238      54.773      16.247      88.016      85.036      15.001       0.000       0.000       0.000    1300.566       0.000       0.000       0.000       0.000       0.000      13.238       0.000       0.000       0.902       0.000       0.000       0.000       0.000       0.000       7.943       1.648       2.155       0.000
   366    12    31  2012      18      18  hru18               1046.174       0.000       0.000       0.000       1.189       1.189     108.609     927.925      90.414     835.260       2.251       0.000      16.067      11.685      88.055      56.180       7.424       0.000       0.000       0.000    1300.656       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       1.189       0.000       0.000       0.000       0.000       0.000       8.452       0.000       2.841       0.000
   366    12    31  2012      19      19  hru19               1046.174       0.000       0.000      46.279       0.561      46.840       7.634     983.239      90.415     891.118       1.706      46.279      67.016      11.659      88.115      74.099       8.657       0.000       0.000       0.000    1300.566       0.000       0.000       0.000       0.000       0.000      46.279       0.000       0.000       0.561       0.000       0.000       0.000       0.000       0.000       8.462       9.894       1.341       0.000
   366    12    31  2012      20      20  hru20               1046.174       0.000       0.000       4.672       0.879       5.551      62.470     969.761      90.415     876.789       2.557       4.672      46.817      12.167      87.997      67.555       6.394       0.000       0.000       0.000    1300.583       0.000       0.000       0.000       0.000       0.000       4.672       0.000       0.000       0.879       0.000       0.000       0.000       0.000       0.000       8.392       0.864       2.100       0.000
   366    12    31  2012      21      21  hru21               1046.174       0.000       0.000      21.928       0.275      22.203      19.698     996.329      90.415     903.762       2.151      21.928      59.288      16.250      88.039      81.012      14.464       0.000       0.000       0.000    1300.513       0.000       0.000       0.000       0.000       0.000      21.928       0.000       0.000       0.275       0.000       0.000       0.000       0.000       0.000       7.945       4.483       0.656       0.000
   366    12    31  2012      22      22  hru22               1046.174       0.000       0.000       4.672       0.188       4.860      61.344     971.509      90.415     879.241       1.853       4.672      46.817      11.651      88.112      69.128       7.370       0.000       0.000       0.000    1300.568       0.000       0.000       0.000       0.000       0.000       4.672       0.000       0.000       0.188       0.000       0.000       0.000       0.000       0.000       8.462       1.034       0.449       0.000
   366    12    31  2012      23      23  hru23               1046.174       0.000       0.000       5.999       0.104       6.104      26.124    1004.969      90.415     911.934       2.620       5.999      46.961      14.651      93.535      84.945      15.874       0.000       0.000       0.000    1300.518       0.000       0.000       0.000       0.000       0.000       5.999       0.000       0.000       0.104       0.000       0.000       0.000       0.000       0.000       8.730       1.885       0.250       0.000
   366    12    31  2012      24      24  hru24               1046.174       0.000       0.000     747.001       0.000     747.002       0.000     298.121       0.000       0.000     298.121     747.001      98.833      66.439      75.938      68.175       1.697       0.000       0.000       0.000    1300.633       0.000       0.000       0.000       0.000       0.000     747.001       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       1.051       0.000       0.002       0.000
   366    12    31  2012      25      25  hru25               1046.174       0.000       0.000     747.001       0.000     747.001       0.000     298.124       0.000       0.000     298.124     747.001      98.833      89.644      99.122      91.381       0.832       0.000       0.000       0.000    1300.613       0.000       0.000       0.000       0.000       0.000     747.001       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       1.049       0.000       0.000       0.000
   366    12    31  2012      26      26  hru26               1046.174       0.000       0.000     747.001       0.001     747.002       0.000     298.130       0.000       0.000     298.130     747.001      98.833      84.085      93.507      85.767       1.616       0.000       0.000       0.000    1300.569       0.000       0.000       0.000       0.000       0.000     747.001       0.000       0.000       0.001       0.000       0.000       0.000       0.000       0.000       1.043       0.000       0.003       0.000
   366    12    31  2012      27      27  hru27               1046.174       0.000       0.000     747.001       0.000     747.001       0.000     298.124       0.000       0.000     298.124     747.001      98.833      36.639      46.123      38.378       1.478       0.000       0.000       0.000    1300.603       0.000       0.000       0.000       0.000       0.000     747.001       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       1.050       0.000       0.000       0.000
   366    12    31  2012      28      28  hru28               1046.174       0.000       0.000       9.944       3.855      13.798     420.508     605.717      34.709     332.086     238.922       9.943      36.581     170.634     264.350     191.434      16.348       0.000       0.000       0.000    1300.647       0.000       0.000       0.000       0.000       0.000       9.943       0.000       0.000       3.855       0.000       0.000       0.000       0.000       0.000      10.372       2.602       9.212       0.000
   366    12    31  2012      29      29  hru29               1046.174       0.000       0.000     155.305       7.334     162.639     211.065     640.064      34.709     338.036     267.318     155.305      59.383     215.790     419.793     328.482      48.608       0.000       0.000       0.000    1300.551       0.000       0.000       0.000       0.000       0.000     155.305       0.000       0.000       7.334       0.000       0.000       0.000       0.000       0.000      22.578      19.493      17.526       0.000
   366    12    31  2012      30      30  hru30               1046.174       0.000       0.000     220.364      61.447     281.811      99.608     660.430      34.709     338.029     287.692     220.369      69.010     202.861     511.835     409.977      69.547       0.000       0.000       0.000    1300.534       0.000       0.000       0.000       0.000       0.000     220.369       0.000       0.000      61.447       0.000       0.000       0.000       0.000       0.000      34.195      37.847     146.849       0.000
   366    12    31  2012      31      31  hru31               1046.174       0.000       0.000       8.058       1.919       9.977     152.649     887.405      61.298     798.258      27.850       8.057      46.873      39.534     116.318      98.008       9.050       0.000       0.000       0.000    1300.590       0.000       0.000       0.000       0.000       0.000       8.057       0.000       0.000       1.919       0.000       0.000       0.000       0.000       0.000       8.498       1.139       4.587       0.000
   366    12    31  2012      32      32  hru32               1046.174       0.000       0.000      66.033       1.310      67.344      21.055     952.156      61.298     877.974      12.885      66.033      67.879      39.633     116.824     137.311      15.299       0.000       0.000       0.000    1300.587       0.000       0.000       0.000       0.000       0.000      66.033       0.000       0.000       1.310       0.000       0.000       0.000       0.000       0.000       8.543      24.749       3.131       0.000
   366    12    31  2012      33      33  hru33               1046.174       0.000       0.000     188.291       0.380     188.671       2.610     427.753      36.530     336.886      54.336     188.291      70.022       6.460      11.338       4.194       4.194       0.000       0.000       0.000    1300.583       0.000       0.000       0.000       0.000       0.000     188.291       0.000       0.000       0.380       0.000       0.000       0.000       0.000       0.000       0.540      51.836       0.909       0.000
   366    12    31  2012      34      34  hru34               1046.174       0.000       0.000      33.522       5.871      39.393     522.876     470.747      39.134     375.034      56.578      33.522      60.694     163.607     274.215     212.671      18.994       0.000       0.000       0.000    1300.610       0.000       0.000       0.000       0.000       0.000      33.522       0.000       0.000       5.871       0.000       0.000       0.000       0.000       0.000      12.241       0.039      14.030       0.000
