 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
  jday   mon   day    yr    unit  gis_id     name         lab_min_p        act_sta_p        act_nit_n        act_sta_n        org_lab_p         rsd_hs_c    rsd_nitrorg_n     rsd_laborg_p
                                                               kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha
   365    12    31  2006      35      35  hru35               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2006      36      36  hru36               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2006      37      37  hru37               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2006      38      38  hru38               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2006      39      39  hru39               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2006      40      40  hru40               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2006      41      41  hru41               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2006      42      42  hru42               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2006      43      43  hru43               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2006      44      44  hru44               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2006      45      45  hru45               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2006      46      46  hru46               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2006      47      47  hru47               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2006      48      48  hru48               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2006      49      49  hru49               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007       1       1  hru01               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007       2       2  hru02               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007       3       3  hru03               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007       4       4  hru04               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007       5       5  hru05               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007       6       6  hru06               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007       7       7  hru07               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007       8       8  hru08               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007       9       9  hru09               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      10      10  hru10               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      11      11  hru11               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      12      12  hru12               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      13      13  hru13               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      14      14  hru14               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      15      15  hru15               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      16      16  hru16               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      17      17  hru17               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      18      18  hru18               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      19      19  hru19               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      20      20  hru20               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      21      21  hru21               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      22      22  hru22               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      23      23  hru23               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      24      24  hru24               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      25      25  hru25               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      26      26  hru26               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
