 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
   jda   mon   day    yr   unit   gis_id  name               sedyld             usle          sedorgc          sedorgn          sedorgp          surqno3          lat3no3         surqsolp           sedmin          tileno3          no3atmo          nh4atmo          manurec          manuren          manurep            fertc            fertn            fertp        grazc_eat        grazn_eat        gracp_eat        grazc_man        grazn_man        gracp_man             fixn            denit           yieldc           yieldn           yieldp
                                                               tons              tha             kgha             kgha             kgha             kgha             kgha             kgha             ----             kgha          no3atmo             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha
   366    12    31  2012      22      22  hru22               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      23      23  hru23               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      24      24  hru24               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      25      25  hru25               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      26      26  hru26               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      27      27  hru27               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      28      28  hru28               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      29      29  hru29               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      30      30  hru30               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      31      31  hru31               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      32      32  hru32               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      33      33  hru33               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      34      34  hru34               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      35      35  hru35               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      36      36  hru36               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      37      37  hru37               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
