"Rainfall	",Evaporation,Discharge
0,0,0.51
0,0,0.5
0,0,0.48
0,0,0.47
0,0,0.45
0,0,0.44
0,0,0.44
0,0,0.45
0,0,0.47
0,0,0.48
0,0,0.5
0,0,0.51
0,0,0.52
0,0,0.52
0,0,0.52
0,0,0.52
0,0,0.52
0,0,0.52
0,0,0.51
0,0,0.5
0,0,0.48
0,0,0.47
0,0,0.45
0,0,0.44
0,0,0.44
0,0,0.45
0,0,0.47
0,0,0.48
0,0,0.5
0,0,0.51
0,0,0.48
0,0,0.39
0,0,0.3
0,0,0.22
0,0,0.13
0,0,0.04
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.04
0,0,0.13
0,0,0.22
0,0,0.3
0,0,0.39
0,0,0.48
0,0,0.55
0,0,0.62
0,0,0.68
0,0,0.75
0,0,0.81
0,0,0.87
0,0,1
0,0,1.2
0,0,1.39
0,0,1.59
0,0,1.78
0,0,1.98
0,0,3.09
0,0,5.12
0,0,7.14
0,0,9.17
0,0,11.2
12,0,13.36
0,0,35.66
0,0,76.08
0,0,126.01
0,0,179.13
1,0,220.04
1,0,235.01
0,0,241.89
0,0,244.78
0,0,247.67
0,0,250.56
0,0,253.44
0,0,256.33
0,0,255.48
0,0,250.88
0,0,246.29
0,0,241.7
0,0,237.1
0,0,232.51
0,0,225.84
0,0,217.09
0,0,208.35
0,0,199.6
0,0,190.85
0,0,188.1
0,0,192.11
0,0,188.92
0,0,185.73
0,0,182.55
0,0,179.36
0,0,176.17
0,0,172.57
0,0,168.57
0,0,164.56
0,0,160.56
0,0,156.56
0,0,152.55
0,0,148.46
0,0,144.29
0,0,140.11
0,0,135.94
0,0,131.76
0,0,127.58
0,0,125.11
0,0,124.35
0,0,123.59
0,0,122.82
0,0,122.06
0,0,121.3
0,0,122.13
0,0,124.57
0,0,127
0,0,129.43
0,0,131.87
0,0,134.3
0,0,135.32
0,0,134.92
0,0,134.53
0,0,134.13
0,0,133.74
0,0,133.34
0,0,131.57
0,0,128.41
0,0,125.26
0,0,122.1
0,0,118.95
0,0,115.8
0,0,113.86
0,0,113.14
0,0,112.42
0,0,111.7
0,0,110.98
0,0,110.26
0,0,109.34
0,0,108.21
0,0,107.07
0,0,105.94
0,0,104.81
0,0,103.68
0,0,101.97
0,0,99.66
0,0,97.36
0,0,95.05
0,0,92.75
0,0,90.45
0,0,87.65
0,0,84.36
0,0,81.07
0,0,77.78
0,0,74.49
0,0,71.2
0,0,69.29
0,0,68.75
0,0,68.22
0,0,67.69
0,0,67.15
0,0,66.62
0,0,66.19
0,0,65.87
0,0,65.55
0,0,65.22
0,0,64.9
0,0,64.57
0,0,63.91
0,0,62.9
0,0,61.89
0,0,60.88
0,0,59.88
0,0,58.87
0,0,57.64
0,0,56.18
0,0,54.73
0,0,53.27
0,0,51.82
0,0,50.36
0,0,48.91
0,0,47.44
0,0,45.98
0,0,44.52
0,0,43.06
0,0,41.6
0,0,40.77
0,0,40.58
0,0,40.38
0,0,40.19
0,0,39.99
0,0,39.8
0,0,39.8
0,0,39.99
0,0,40.19
0,0,40.38
0,0,40.58
0,0,40.77
0,0,40.37
0,0,39.39
0,0,38.4
0,0,37.41
0,0,36.43
0,0,35.44
0,0,34.6
0,0,33.91
0,0,33.22
0,0,32.53
0,0,31.84
0,0,31.15
0,0,30.8
0,0,30.8
0,0,30.8
0,0,30.8
0,0,30.8
0,0,30.8
0,0,31.06
0,0,31.57
0,0,32.08
0,0,32.59
0,0,33.1
0,0,33.61
0,0,33.37
0,0,32.38
0,0,31.38
0,0,30.39
0,0,29.4
0,0,28.4
0,0,27.73
0,0,27.39
0,0,27.04
0,0,26.7
0,0,26.35
0,0,26.01
0,0,25.51
0,0,24.85
0,0,24.2
0,0,23.54
0,0,22.89
0,0,22.23
0,0,21.49
0,0,20.66
0,0,19.83
0,0,19
0,0,18.18
0,0,17.35
0,0,16.62
0,0,15.98
0,0,15.35
0,0,14.72
0,0,14.08
0,0,13.45
0,0,12.65
0,0,11.67
0,0,10.7
0,0,9.73
0,0,8.76
0,0,7.79
0,0,7.18
0,0,6.94
0,0,6.71
0,0,6.47
0,0,6.23
0,0,5.99
0,0,6.06
0,0,6.43
0,0,6.79
0,0,7.16
0,0,7.53
0,0,7.89
0,0,7.84
0,0,7.37
0,0,6.89
0,0,6.42
0,0,5.94
0,0,5.46
0,0,5.19
0,0,5.13
0,0,5.07
0,0,5
0,0,4.94
10,0,4.87
0,0,20.1
15,0,49.3
0,0,53.8
0,0,58.3
0,0,62.8
2,0,67.3
0,0,70.25
0,0,71.66
0,0,73.06
0,0,74.47
0,0,75.87
1,0,77.27
0,0,77.14
0,0,75.47
0,0,73.8
0,0,72.13
0,0,70.46
0,0,68.79
0,0,67.04
0,0,65.2
0,0,63.36
0,0,61.53
0,0,59.69
0,0,57.86
0,0,57.56
0,0,58.81
0,0,60.05
0,0,61.3
0,0,62.54
0,0,63.79
0,0,63.55
0,0,61.83
0,0,60.11
0,0,58.39
0,0,56.67
0,0,54.95
0,0,54.95
0,0,56.67
0,0,58.39
0,0,60.11
0,0,61.83
0,0,63.55
0,0,62.96
0,0,60.07
0,0,57.18
0,0,54.28
0,0,51.39
0,0,48.49
0,0,47.63
0,0,48.81
0,0,49.98
0,0,51.15
0,0,52.33
0,0,53.5
0,0,53.97
0,0,53.74
0,0,53.51
0,0,53.28
0,0,53.05
0,0,52.82
0,0,52.12
0,0,50.97
0,0,49.81
0,0,48.65
0,0,47.49
0,0,46.33
0,0,45.15
0,0,43.95
0,0,42.74
0,0,41.54
0,0,40.34
0,0,39.14
0,0,38.24
0,0,37.64
0,0,37.04
0,0,36.44
0,0,35.85
0,0,35.25
0,0,34.6
0,0,33.91
0,0,33.22
0,0,32.53
0,0,31.84
0,0,31.15
0,0,30.72
0,0,30.56
0,0,30.41
0,0,30.25
0,0,30.09
0,0,29.93
0,0,29.77
0,0,29.6
0,0,29.44
0,0,29.27
0,0,29.11
0,0,28.94
0,0,28.55
0,0,27.93
0,0,27.31
0,0,26.69
0,0,26.07
0,0,25.45
0,0,25.09
0,0,24.98
0,0,24.87
0,0,24.76
0,0,24.66
0,0,24.55
0,0,24.61
0,0,24.83
0,0,25.05
0,0,25.28
0,0,25.5
0,0,25.72
0,0,25.56
0,0,25
0,0,24.45
0,0,23.89
0,0,23.34
0,0,22.78
0,0,22.4
0,0,22.19
0,0,21.99
0,0,21.78
0,0,21.57
0,0,21.36
0,0,20.99
0,0,20.47
0,0,19.94
0,0,19.41
0,0,18.89
0,0,18.36
0,0,18.1
0,0,18.1
0,0,18.1
0,0,18.1
0,0,18.1
0,0,18.1
0,0,17.87
0,0,17.4
0,0,16.93
0,0,16.46
0,0,15.99
0,0,15.53
0,0,14.91
0,0,14.16
0,0,13.4
0,0,12.65
0,0,11.89
0,0,11.13
0,0,10.44
0,0,9.81
0,0,9.17
0,0,8.54
0,0,7.91
0,0,7.27
0,0,6.84
0,0,6.6
0,0,6.36
0,0,6.12
0,0,5.89
0,0,5.65
0,0,5.35
0,0,5
0,0,4.65
0,0,4.29
0,0,3.94
0,0,3.59
0,0,3.39
0,0,3.34
0,0,3.29
0,0,3.24
0,0,3.19
0,0,3.14
0,0,3.16
0,0,3.26
0,0,3.36
0,0,3.46
0,0,3.56
0,0,3.66
0,0,3.6
0,0,3.36
0,0,3.12
0,0,2.88
0,0,2.65
0,0,2.41
0,0,2.21
0,0,2.06
0,0,1.91
0,0,1.76
0,0,1.61
0,0,1.46
0,0,1.35
0,0,1.3
0,0,1.24
0,0,1.18
0,0,1.12
0,0,1.07
0,0,1
0,0,0.94
0,0,0.87
0,0,0.81
0,0,0.75
0,0,0.68
0,0,0.6
0,0,0.52
0,0,0.43
0,0,0.35
0,0,0.26
0,0,0.17
0,0,0.13
0,0,0.13
0,0,0.13
0,0,0.13
0,0,0.13
0,0,0.13
0,0,0.12
0,0,0.1
0,0,0.08
0,0,0.05
0,0,0.03
0,0,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
