 SWATPLUS_CUENCAPIURA     
  SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                               
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
    67     3     8  1982      98    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982      99    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     100    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     101    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     102    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     103    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     104    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     105    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     106    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     107    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     108    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     109    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     110    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     111    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     112    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     113    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     114    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     115    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     116    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     117    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     118    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     119    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     120    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     121    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     122    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     123    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     124    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     125    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     126    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     127    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     128    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     129    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     130    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     131    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     132    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     133    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     134    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     135    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     136    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     137    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     138    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     139    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     140    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     141    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     142    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     143    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     144    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     145    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     146    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     147    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     148    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     149    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     150    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     151    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     152    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     153    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     154    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     155    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     156    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     157    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     158    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     159    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     160    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     161    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     162    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982     163    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982     164    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982     165    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982     166    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982     167    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982     168    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982     169    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     170    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     171    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     172    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     173    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     174    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     175    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     176    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     177    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     178    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     179    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     180    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     181    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     182    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     183    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     184    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     185    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     186    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     187    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     188    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     189    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     190    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     191    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982     192    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982     193    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982     194    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982     195    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982     196    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982     197    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982     198    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     199    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     200    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     201    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     202    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     203    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     204    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     205    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     206    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     207    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     208    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     209    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     210    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     211    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     212    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     213    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     214    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     215    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     216    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     217    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     218    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     219    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     220    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     221    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     222    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     223    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     224    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     225    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     226    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     227    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     228    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     229    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     230    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     231    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     232    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     233    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     234    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     235    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     236    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     237    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     238    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     239    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     240    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     241    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     242    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     243    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     244    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     245    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     246    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     247    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     248    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     249    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     250    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     251    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     252    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     253    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     254    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     255    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     256    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     257    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     258    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     259    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     260    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     261    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     262    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     263    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     264    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     265    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     266    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     267    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     268    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     269    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     270    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     271    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     272    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     273    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     274    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     275    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     276    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     277    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     278    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     279    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     280    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     281    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     282    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     283    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     284    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     285    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     286    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     287    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     288    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     289    agrl                        0.000       0.000       0.000       0.000
    67     3     8  1982     290    agrl                        0.000       0.000       0.000       0.000
    67     3     8  1982     291    agrl                        0.000       0.000       0.000       0.000
    67     3     8  1982     292    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     293    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     294    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     295    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     296    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     297    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     298    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     299    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     300    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     301    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     302    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     303    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     304    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     305    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     306    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     307    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     308    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     309    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     310    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     311    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     312    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     313    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     314    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     315    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     316    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     317    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     318    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     319    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     320    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     321    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     322    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     323    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     324    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     325    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     326    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     327    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     328    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     329    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     330    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     331    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     332    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     333    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     334    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     335    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     336    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     337    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     338    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     339    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     340    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     341    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     342    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     343    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     344    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     345    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     346    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     347    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     348    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     349    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     350    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     351    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     352    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     353    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     354    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     355    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     356    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     357    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     358    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     359    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     360    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     361    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     362    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     363    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     364    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     365    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     366    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     367    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     368    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     369    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     370    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     371    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     372    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     373    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     374    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     375    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     376    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     377    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     378    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     379    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     380    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     381    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     382    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     383    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     384    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     385    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     386    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     387    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     388    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     389    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     390    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     391    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     392    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     393    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     394    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     395    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     396    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     397    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     398    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     399    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     400    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     401    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     402    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     403    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     404    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     405    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     406    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     407    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     408    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     409    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     410    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     411    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     412    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     413    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     414    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     415    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     416    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     417    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     418    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     419    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     420    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     421    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     422    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     423    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     424    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     425    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     426    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     427    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     428    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     429    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     430    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     431    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982     432    frse                        0.000       0.000       0.000       0.000
