 SWATPLUS_CUENCAPIURA      SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
    67     3     8  1982      10      10  cha10                0.4427E+05     0.4655E+06     0.1567E+06     0.8369E+05     0.5781E+05     0.2328E+00     0.1059E+01     0.1654E+00     0.3509E+04     0.9071E+01     0.1298E+02     0.2769E+00     0.2879E+00     0.1030E+07     0.1351E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.9700E-01     0.2801E+01     0.1854E+02     0.2786E+01     0.2460E+05     0.6197E+02     0.5210E+03     0.2095E+01     0.2013E+01     0.5499E+08     0.6436E+07     0.4630E-02     0.4630E-02     0.4630E-02     0.4630E-02     0.4630E-02     0.0000E+00     0.1945E+04     0.6843E-01     0.1947E+01     0.7524E+01     0.1170E+01     0.8534E+04     0.6465E+02     0.7546E+02     0.2188E+01     0.2073E+01     0.6972E+07     0.3926E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4889E+04     0.1936E+02
    67     3     8  1982      11      11  cha11                0.8581E+05     0.9024E+06     0.3775E+06     0.1622E+06     0.1360E+06     0.9821E-01     0.2500E+00     0.4202E-01     0.5352E+04     0.7888E+01     0.3448E+01     0.6590E-01     0.8262E-01     0.2387E+06     0.1974E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.2200E+00     0.1087E+01     0.4364E+01     0.7040E+00     0.2557E+05     0.6969E+02     0.1443E+03     0.5264E+00     0.8825E+00     0.1246E+08     0.6170E+07     0.4663E-02     0.4663E-02     0.4663E-02     0.4663E-02     0.4663E-02     0.0000E+00     0.3792E+03     0.1546E+00     0.7028E+00     0.1689E+01     0.2822E+00     0.7555E+04     0.3754E+02     0.1542E+02     0.4990E+00     0.6199E+00     0.1318E+07     0.1240E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8416E+03     0.1936E+02
    67     3     8  1982      12      12  cha12                0.5930E+05     0.6236E+06     0.2801E+06     0.1121E+06     0.8841E+05     0.3407E-01     0.4896E-01     0.8455E-02     0.4579E+04     0.4055E+01     0.1065E+01     0.1294E-01     0.2705E-01     0.3953E+05     0.2864E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.2221E+00     0.6861E+00     0.1598E+01     0.2674E+00     0.3273E+05     0.7739E+02     0.9743E+02     0.5401E+00     0.3690E+00     0.1656E+07     0.5169E+07     0.3242E-02     0.3242E-02     0.3242E-02     0.3242E-02     0.3242E-02     0.0000E+00     0.3635E+03     0.1735E+00     0.4962E+00     0.6642E+00     0.1154E+00     0.1370E+05     0.5501E+02     0.1052E+02     0.2152E+00     0.5234E+00     0.1652E+06     0.2433E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6379E+03     0.1936E+02
    67     3     8  1982      13      13  cha13                0.3363E+05     0.3536E+06     0.1605E+06     0.6357E+05     0.5197E+05     0.2766E-01     0.1166E+00     0.1905E-01     0.3396E+04     0.2275E+01     0.4648E+01     0.2669E-01     0.7556E-02     0.2087E+06     0.1302E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.2291E+00     0.7787E+00     0.3150E+01     0.4989E+00     0.4273E+05     0.2497E+02     0.6327E+03     0.1204E-01     0.1884E+00     0.1512E+08     0.2794E+07     0.4527E-02     0.4527E-02     0.4527E-02     0.4527E-02     0.4527E-02     0.0000E+00     0.3296E+03     0.1976E+00     0.6861E+00     0.1598E+01     0.2650E+00     0.2486E+05     0.7638E+02     0.8300E+02     0.5399E+00     0.3647E+00     0.1646E+07     0.3043E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4669E+03     0.1936E+02
    67     3     8  1982      14      14  cha14                0.7758E+05     0.8159E+06     0.3230E+06     0.1467E+06     0.9323E+05     0.1416E-01     0.3361E-02     0.6959E-03     0.7052E+04     0.1536E+01     0.2308E-01     0.1016E-02     0.9054E-02     0.8699E+02     0.8648E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.2669E+00     0.6259E+00     0.1101E+00     0.2453E-01     0.7535E+05     0.3653E+02     0.3226E+02     0.3536E-01     0.4088E+00     0.1786E+05     0.1227E+08     0.4202E-02     0.4202E-02     0.4202E-02     0.4202E-02     0.4202E-02     0.0000E+00     0.2301E+03     0.2084E+00     0.4833E+00     0.3754E-01     0.8512E-02     0.3557E+05     0.2300E+02     0.8323E+00     0.1195E-01     0.1864E+00     0.1672E+04     0.9326E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4034E+03     0.1936E+02
    67     3     8  1982      15      15  cha15                0.1591E+05     0.1673E+06     0.7597E+05     0.3008E+05     0.1859E+05     0.5896E-02     0.2686E-02     0.4627E-03     0.1776E+04     0.2336E+00     0.3589E-03     0.6323E-03     0.3910E-02     0.9983E+01     0.1779E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.2139E+00     0.6472E+00     0.2210E+00     0.3993E-01     0.6492E+05     0.3699E+02     0.6807E+01     0.7529E-01     0.7153E+00     0.1012E+05     0.1857E+07     0.5003E-02     0.5003E-02     0.5003E-02     0.5003E-02     0.5003E-02     0.0000E+00     0.3569E+03     0.2010E+00     0.6259E+00     0.1087E+00     0.2036E-01     0.5195E+05     0.3510E+02     0.2702E+00     0.3502E-01     0.3976E+00     0.9672E+03     0.1057E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4121E+03     0.1936E+02
    67     3     8  1982      16      16  cha16                0.1629E+05     0.1713E+06     0.7767E+05     0.3079E+05     0.1512E+05     0.9980E-02     0.8686E-02     0.1409E-02     0.1606E+04     0.2526E+00     0.6524E-03     0.2064E-02     0.9914E-02     0.6680E+02     0.1407E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.1664E+00     0.6656E+00     0.4698E+00     0.7806E-01     0.5955E+05     0.3646E+02     0.3793E+01     0.1626E+00     0.1187E+01     0.1664E+05     0.1397E+07     0.7917E-02     0.7917E-02     0.7917E-02     0.7917E-02     0.7917E-02     0.0000E+00     0.5992E+03     0.1565E+00     0.6471E+00     0.2202E+00     0.3805E-01     0.4796E+05     0.3487E+02     0.1058E+00     0.7457E-01     0.6946E+00     0.1593E+04     0.8039E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6913E+03     0.1936E+02
    67     3     8  1982      17      17  cha17                0.1094E+05     0.1151E+06     0.5223E+05     0.2068E+05     0.8095E+04     0.1038E-01     0.1859E-01     0.2906E-02     0.9238E+03     0.2356E+00     0.2875E-02     0.4155E-02     0.1675E-01     0.3757E+03     0.5411E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.1315E+00     0.6757E+00     0.1016E+01     0.1601E+00     0.5112E+05     0.3597E+02     0.4927E+01     0.3860E+00     0.1722E+01     0.3298E+05     0.1948E+07     0.4453E-02     0.4453E-02     0.4453E-02     0.4453E-02     0.4453E-02     0.0000E+00     0.1007E+04     0.1259E+00     0.6656E+00     0.4694E+00     0.7692E-01     0.4405E+05     0.3539E+02     0.1399E+00     0.1624E+00     0.1181E+01     0.3474E+04     0.6352E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1121E+04     0.1936E+02
    67     3     8  1982      18      18  cha18                0.4652E+04     0.4892E+05     0.1558E+05     0.7695E+04     0.3519E+04     0.2724E-07     0.3689E-05     0.1162E-04     0.3624E+03     0.1228E-01     0.1276E-01     0.3881E-06     0.2736E-04     0.5289E+02     0.2804E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.1558E-01     0.3188E-05     0.7960E-03     0.2388E-02     0.7387E+04     0.7960E-03     0.2343E+02     0.0000E+00     0.0000E+00     0.2016E+05     0.8269E+07     0.3188E-02     0.3188E-02     0.3188E-02     0.3188E-02     0.3188E-02     0.0000E+00     0.2203E+06     0.1336E-01     0.2015E-05     0.1764E-03     0.5528E-03     0.5017E+04     0.1240E+01     0.5336E+00     0.9477E-04     0.2000E-02     0.1596E+04     0.5161E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3476E+06     0.1936E+02
    67     3     8  1982      19      19  cha19                0.2723E+05     0.2864E+06     0.1159E+06     0.5148E+05     0.1704E+05     0.3684E-01     0.1145E+00     0.1742E-01     0.1976E+04     0.9180E+00     0.5075E-01     0.2896E-01     0.7134E-01     0.6971E+04     0.4774E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.1083E+00     0.6949E+00     0.2440E+01     0.3672E+00     0.5401E+05     0.3545E+02     0.1403E+02     0.9562E+00     0.1887E+01     0.3932E+06     0.7085E+07     0.5111E-02     0.5111E-02     0.5111E-02     0.5111E-02     0.5111E-02     0.0000E+00     0.1566E+04     0.9791E-01     0.6757E+00     0.1015E+01     0.1589E+00     0.3665E+05     0.3505E+02     0.3740E+00     0.3858E+00     0.1717E+01     0.3157E+05     0.2753E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2016E+04     0.1936E+02
