 FINAL_TRY                
  SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                               
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
    67     3     8  1982      96    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      97    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      98    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      99    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     100    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     101    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     102    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     103    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     104    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     105    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     106    agrl                        0.000       0.000       0.000       0.000
    67     3     8  1982     107    agrl                        0.000       0.000       0.000       0.000
    67     3     8  1982     108    agrl                        0.000       0.000       0.000       0.000
    67     3     8  1982     109    agrl                        0.000       0.000       0.000       0.000
    67     3     8  1982     110    agrl                        0.000       0.000       0.000       0.000
    67     3     8  1982     111    agrl                        0.000       0.000       0.000       0.000
    67     3     8  1982     112    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     113    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     114    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     115    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     116    agrl                        0.000       0.000       0.000       0.000
    67     3     8  1982     117    agrl                        0.000       0.000       0.000       0.000
    67     3     8  1982     118    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     119    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     120    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     121    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     122    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     123    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     124    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     125    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     126    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     127    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     128    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     129    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     130    past                        0.000       0.000       0.000       0.000
