 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
    67     3     8  1982      46      46  hru046                97.953     667.088      77.303       0.306      28.825       0.771       0.000      24.242       0.000       2.213       0.000       0.000
    67     3     8  1982      47      47  hru047                 8.918      94.838      10.990       0.356      33.428       1.142       0.000       4.365       0.000       2.191       0.000       0.000
    67     3     8  1982      48      48  hru048                16.456      85.299       9.564       0.659      19.835       2.116       0.000       6.740       0.000       0.357       0.000       0.000
    67     3     8  1982      49      49  hru049                 9.073      96.458      11.178       0.356      34.199       1.134       0.000       4.440       0.000       2.188       0.000       0.000
    67     3     8  1982      50      50  hru050                 9.946     105.499      12.226       0.355      37.120       1.100       0.000       4.860       0.000       2.175       0.000       0.000
    67     3     8  1982      51      51  hru051                10.181     107.693      12.480       0.355      36.606       1.104       0.000       4.962       0.000       2.177       0.000       0.000
    67     3     8  1982      52      52  hru052                10.285     108.888      12.619       0.355      37.664       1.093       0.000       5.018       0.000       2.173       0.000       0.000
    67     3     8  1982      53      53  hru053                19.419     111.961      12.631       0.553      16.983       1.750       0.000       8.310       0.000       1.563       0.000       0.000
    67     3     8  1982      54      54  hru054               269.124     683.164      77.052       0.419      15.859       0.751       0.000      28.426       0.000       1.566       0.000       0.000
    67     3     8  1982      55      55  hru055                 3.965      23.347       2.633       0.614       6.566       1.991       0.000       1.715       0.000       1.596       0.000       0.000
    67     3     8  1982      56      56  hru056                 1.742      10.315       1.163       0.656       4.187       2.039       0.000       0.756       0.000       1.603       0.000       0.000
    67     3     8  1982      57      57  hru057                10.281      59.847       6.751       0.571      11.173       1.884       0.000       4.414       0.000       1.581       0.000       0.000
    67     3     8  1982      58      58  hru058                 3.879      22.860       2.578       0.617       6.549       1.993       0.000       1.679       0.000       1.597       0.000       0.000
    67     3     8  1982      59      59  hru059                11.898      69.516       7.842       0.566      12.648       1.855       0.000       5.133       0.000       1.576       0.000       0.000
    67     3     8  1982      60      60  hru060                10.176      59.146       6.672       0.572      10.775       1.888       0.000       4.362       0.000       1.582       0.000       0.000
    67     3     8  1982      61      61  hru061                 1.568       9.316       1.051       0.658       4.033       2.042       0.000       0.683       0.000       1.604       0.000       0.000
    67     3     8  1982      62      62  hru062                 3.841      22.622       2.551       0.615       6.445       1.993       0.000       1.661       0.000       1.596       0.000       0.000
    67     3     8  1982      63      63  hru063                 4.025      23.700       2.673       0.615       6.646       1.990       0.000       1.741       0.000       1.596       0.000       0.000
    67     3     8  1982      64      64  hru064                10.883      63.544       7.168       0.569      11.877       1.872       0.000       4.688       0.000       1.579       0.000       0.000
    67     3     8  1982      65      65  hru065                 4.257      25.019       2.822       0.613       6.564       1.987       0.000       1.838       0.000       1.596       0.000       0.000
    67     3     8  1982      66      66  hru066                16.690      96.252      10.859       0.559      14.671       1.793       0.000       7.130       0.000       1.569       0.000       0.000
    67     3     8  1982      67      67  hru067                15.820      91.814      10.358       0.559      14.923       1.797       0.000       6.797       0.000       1.567       0.000       0.000
    67     3     8  1982      68      68  hru068                17.441     100.696      11.360       0.557      15.360       1.778       0.000       7.463       0.000       1.566       0.000       0.000
    67     3     8  1982      69      69  hru069                17.634     101.939      11.500       0.556      15.810       1.773       0.000       7.556       0.000       1.565       0.000       0.000
    67     3     8  1982      70      70  hru070                19.317     111.268      12.553       0.553      16.414       1.752       0.000       8.258       0.000       1.562       0.000       0.000
    67     3     8  1982      71      71  hru071                23.826     136.017      15.346       0.547      18.465       1.697       0.000      10.128       0.000       1.557       0.000       0.000
    67     3     8  1982      72      72  hru072                23.437     133.990      15.117       0.547      18.426       1.700       0.000       9.974       0.000       1.557       0.000       0.000
    67     3     8  1982      73      73  hru073                19.179     110.781      12.498       0.553      16.898       1.749       0.000       8.221       0.000       1.561       0.000       0.000
    67     3     8  1982      74      74  hru074                18.305     106.159      11.977       0.554      16.704       1.757       0.000       7.873       0.000       1.560       0.000       0.000
    67     3     8  1982      75      75  hru075                 4.039      23.773       2.681       0.610       6.589       1.987       0.000       1.746       0.000       1.595       0.000       0.000
    67     3     8  1982      76      76  hru076                14.909      86.656       9.776       0.561      14.401       1.809       0.000       6.411       0.000       1.569       0.000       0.000
    67     3     8  1982      77      77  hru077                22.900      90.538       9.757       0.539      14.017       1.936       0.000       9.976       0.000       1.359       0.000       0.000
    67     3     8  1982      78      78  hru078                14.649      85.545       9.651       0.560      14.591       1.810       0.000       6.328       0.000       1.568       0.000       0.000
    67     3     8  1982      79      79  hru079                21.788     125.163      14.121       0.549      17.927       1.716       0.000       9.305       0.000       1.557       0.000       0.000
    67     3     8  1982      80      80  hru080                35.369     135.092      14.562       0.557      17.313       1.755       0.000      15.031       0.000       1.353       0.000       0.000
    67     3     8  1982      81      81  hru081                24.142      95.225      10.262       0.540      14.615       1.912       0.000      10.501       0.000       1.358       0.000       0.000
    67     3     8  1982      82      82  hru082                17.133      98.791      11.145       0.558      15.157       1.786       0.000       7.320       0.000       1.568       0.000       0.000
    67     3     8  1982      83      83  hru083               230.246     642.155      72.427       0.432      14.005       0.789       0.000      28.401       0.000       1.573       0.000       0.000
    67     3     8  1982      84      84  hru084                 4.822      25.847       2.897       0.667      10.510       2.271       0.000       2.023       0.000       0.357       0.000       0.000
    67     3     8  1982      85      85  hru085                19.791     101.653      11.398       0.659      22.123       2.075       0.000       8.053       0.000       0.357       0.000       0.000
    67     3     8  1982      86      86  hru086               227.609     584.669      65.562       0.504      19.019       0.761       0.000      27.602       0.000       0.357       0.000       0.000
    67     3     8  1982      87      87  hru087                12.932      67.766       7.598       0.662      18.067       2.159       0.000       5.341       0.000       0.357       0.000       0.000
    67     3     8  1982      88      88  hru088                19.539     112.363      12.677       0.553      16.652       1.753       0.000       8.340       0.000       1.564       0.000       0.000
    67     3     8  1982      89      89  hru089               261.257     675.352      76.171       0.421      15.093       0.757       0.000      28.439       0.000       1.568       0.000       0.000
    67     3     8  1982      90      90  hru090                13.657      79.088       8.922       0.564      13.138       1.835       0.000       5.846       0.000       1.575       0.000       0.000
    67     3     8  1982      91      91  hru091                15.179      87.677       9.891       0.561      13.845       1.815       0.000       6.488       0.000       1.572       0.000       0.000
    67     3     8  1982      92      92  hru092                 4.289      25.207       2.843       0.613       6.574       1.986       0.000       1.852       0.000       1.596       0.000       0.000
    67     3     8  1982      93      93  hru093                 4.582      24.588       2.756       0.667      10.506       2.275       0.000       1.924       0.000       0.357       0.000       0.000
    67     3     8  1982      94      94  hru094                15.495      80.686       9.046       0.661      20.115       2.126       0.000       6.371       0.000       0.357       0.000       0.000
    67     3     8  1982      95      95  hru095                12.906      67.663       7.586       0.662      18.159       2.159       0.000       5.333       0.000       0.357       0.000       0.000
    67     3     8  1982      96      96  hru096                 4.551      24.425       2.738       0.667      10.471       2.275       0.000       1.911       0.000       0.357       0.000       0.000
    67     3     8  1982      97      97  hru097                 4.005      23.565       2.658       0.612       6.521       1.989       0.000       1.731       0.000       1.595       0.000       0.000
    67     3     8  1982      98      98  hru098                15.521      89.822      10.133       0.560      14.365       1.805       0.000       6.648       0.000       1.570       0.000       0.000
    67     3     8  1982      99      99  hru099                17.629     101.453      11.445       0.557      15.120       1.782       0.000       7.520       0.000       1.569       0.000       0.000
    67     3     8  1982     100     100  hru100               270.527     684.686      77.224       0.418      16.115       0.751       0.000      28.407       0.000       1.564       0.000       0.000
    67     3     8  1982     101     101  hru101                18.702     107.649      12.145       0.555      16.072       1.764       0.000       7.986       0.000       1.565       0.000       0.000
    67     3     8  1982     102     102  hru102                23.344     118.691      13.309       0.657      23.919       2.032       0.000       9.428       0.000       0.357       0.000       0.000
    67     3     8  1982     103     103  hru103                26.113     148.109      16.710       0.544      18.652       1.675       0.000      11.047       0.000       1.557       0.000       0.000
    67     3     8  1982     104     104  hru104                26.978     153.441      17.312       0.541      21.371       1.648       0.000      11.452       0.000       1.549       0.000       0.000
    67     3     8  1982     105     105  hru105                34.718     171.242      19.204       0.684      29.960       1.892       0.000      13.719       0.000       0.356       0.000       0.000
    67     3     8  1982     106     106  hru106                26.707     151.597      17.104       0.542      19.807       1.661       0.000      11.312       0.000       1.553       0.000       0.000
    67     3     8  1982     107     107  hru107                26.368     150.052      16.930       0.542      20.414       1.659       0.000      11.194       0.000       1.551       0.000       0.000
    67     3     8  1982     108     108  hru108                34.589     170.613      19.133       0.672      29.140       1.895       0.000      13.667       0.000       0.356       0.000       0.000
    67     3     8  1982     109     109  hru109                15.059      87.506       9.872       0.560      14.530       1.809       0.000       6.475       0.000       1.570       0.000       0.000
    67     3     8  1982     110     110  hru110                22.284     128.163      14.460       0.547      19.044       1.707       0.000       9.532       0.000       1.556       0.000       0.000
    67     3     8  1982     111     111  hru111                29.654     167.413      18.889       0.538      21.762       1.620       0.000      12.519       0.000       1.548       0.000       0.000
    67     3     8  1982     112     112  hru112                38.214     186.635      20.930       0.684      30.180       1.852       0.000      14.992       0.000       0.356       0.000       0.000
    67     3     8  1982     113     113  hru113                 1.919      10.385       1.164       0.668       6.632       2.318       0.000       0.811       0.000       0.357       0.000       0.000
    67     3     8  1982     114     114  hru114                 4.585      24.602       2.758       0.667      10.443       2.275       0.000       1.925       0.000       0.357       0.000       0.000
    67     3     8  1982     115     115  hru115                11.496      60.446       6.777       0.663      16.687       2.178       0.000       4.759       0.000       0.357       0.000       0.000
    67     3     8  1982     116     116  hru116               222.054     578.999      64.926       0.506      19.550       0.773       0.000      27.589       0.000       0.357       0.000       0.000
    67     3     8  1982     117     117  hru117                 4.575      24.539       2.751       0.667      10.293       2.275       0.000       1.921       0.000       0.357       0.000       0.000
    67     3     8  1982     118     118  hru118                14.893      77.539       8.693       0.661      18.699       2.136       0.000       6.120       0.000       0.357       0.000       0.000
    67     3     8  1982     119     119  hru119                 1.854      10.043       1.126       0.669       6.595       2.318       0.000       0.784       0.000       0.357       0.000       0.000
    67     3     8  1982     120     120  hru120                 4.385      23.553       2.640       0.668      10.310       2.278       0.000       1.843       0.000       0.357       0.000       0.000
    67     3     8  1982     121     121  hru121                17.874      92.299      10.349       0.660      20.888       2.098       0.000       7.301       0.000       0.357       0.000       0.000
    67     3     8  1982     122     122  hru122                11.257      59.217       6.639       0.663      16.061       2.181       0.000       4.661       0.000       0.357       0.000       0.000
    67     3     8  1982     123     123  hru123                 4.329      23.244       2.606       0.667      10.148       2.279       0.000       1.819       0.000       0.357       0.000       0.000
    67     3     8  1982     124     124  hru124                 1.813       9.831       1.102       0.668       6.556       2.319       0.000       0.767       0.000       0.357       0.000       0.000
    67     3     8  1982     125     125  hru125                16.906      87.528       9.811       0.645       1.273       2.121       0.000       6.913       0.000       0.357       0.000       0.000
    67     3     8  1982     126     126  hru126                24.066     121.635      13.635       0.639       6.289       2.029       0.000       9.667       0.000       0.357       0.000       0.000
    67     3     8  1982     127     127  hru127                64.591     288.351      32.327       0.596      10.270       1.531       0.000      23.690       0.000       0.357       0.000       0.000
    67     3     8  1982     128     128  hru128               200.997     555.299      62.268       0.515      18.389       0.818       0.000      27.482       0.000       0.357       0.000       0.000
    67     3     8  1982     129     129  hru129                 4.157      22.425       2.514       0.667      10.367       2.281       0.000       1.754       0.000       0.357       0.000       0.000
    67     3     8  1982     130     130  hru130                11.234      59.309       6.649       0.664      17.232       2.180       0.000       4.669       0.000       0.357       0.000       0.000
    67     3     8  1982     131     131  hru131                 1.765       9.632       1.080       0.668       6.645       2.319       0.000       0.752       0.000       0.357       0.000       0.000
    67     3     8  1982     132     132  hru132               191.185     592.716      66.852       0.448      12.449       0.839       0.000      28.238       0.000       1.576       0.000       0.000
    67     3     8  1982     133     133  hru133                21.361     119.530      13.480       0.637       3.886       1.830       0.000       8.898       0.000       1.604       0.000       0.000
    67     3     8  1982     134     134  hru134                 1.493       8.857       0.999       0.660       3.878       2.044       0.000       0.649       0.000       1.604       0.000       0.000
    67     3     8  1982     135     135  hru135                 1.179       6.427       0.720       0.666       1.274       2.334       0.000       0.501       0.000       0.357       0.000       0.000
    67     3     8  1982     136     136  hru136                 1.596       8.662       0.971       0.669       6.118       2.322       0.000       0.676       0.000       0.357       0.000       0.000
    67     3     8  1982     137     137  hru137                 1.782       9.649       1.082       0.669       6.364       2.320       0.000       0.753       0.000       0.357       0.000       0.000
    67     3     8  1982     138     138  hru138                11.006      44.646       4.810       0.580       8.798       2.147       0.000       4.876       0.000       1.365       0.000       0.000
    67     3     8  1982     139     139  hru139                66.139     225.640      24.304       0.536       5.706       1.489       0.000      25.105       0.000       1.368       0.000       0.000
    67     3     8  1982     140     140  hru140               167.338     387.196      41.708       0.463       9.541       0.926       0.000      27.996       0.000       1.364       0.000       0.000
    67     3     8  1982     141     141  hru141                 1.874      10.135       1.136       0.668       6.481       2.318       0.000       0.791       0.000       0.357       0.000       0.000
    67     3     8  1982     142     142  hru142                 4.571      24.519       2.749       0.667      10.302       2.276       0.000       1.919       0.000       0.357       0.000       0.000
    67     3     8  1982     143     143  hru143                27.035     135.101      15.144       0.636       6.563       1.993       0.000      10.762       0.000       0.357       0.000       0.000
    67     3     8  1982     144     144  hru144                64.309     287.255      32.204       0.596      10.177       1.534       0.000      23.595       0.000       0.357       0.000       0.000
    67     3     8  1982     145     145  hru145               177.998     526.246      59.010       0.524      17.063       0.873       0.000      27.363       0.000       0.357       0.000       0.000
    67     3     8  1982     146     146  hru146                 1.142       6.221       0.697       0.666       1.245       2.334       0.000       0.485       0.000       0.357       0.000       0.000
    67     3     8  1982     147     147  hru147                 1.543       8.361       0.937       0.669       5.879       2.323       0.000       0.652       0.000       0.357       0.000       0.000
    67     3     8  1982     148     148  hru148               181.181     401.071      43.202       0.456       9.744       0.895       0.000      28.092       0.000       1.364       0.000       0.000
    67     3     8  1982     149     149  hru149                64.984     222.470      23.963       0.537       5.660       1.503       0.000      24.971       0.000       1.368       0.000       0.000
    67     3     8  1982     150     150  hru150                25.254      97.808      10.534       0.561       3.465       2.022       0.000      10.810       0.000       1.369       0.000       0.000
    67     3     8  1982     151     151  hru151                24.756     125.708      14.092       0.638       6.597       2.018       0.000       9.998       0.000       0.357       0.000       0.000
    67     3     8  1982     152     152  hru152                58.826     268.004      30.046       0.602      10.259       1.598       0.000      21.917       0.000       0.357       0.000       0.000
    67     3     8  1982     153     153  hru153               163.007     506.510      56.796       0.532      17.142       0.914       0.000      27.360       0.000       0.357       0.000       0.000
    67     3     8  1982     154     154  hru154                 1.634       8.930       1.001       0.668       6.386       2.321       0.000       0.697       0.000       0.357       0.000       0.000
    67     3     8  1982     155     155  hru155                 1.869      10.110       1.133       0.669       6.457       2.318       0.000       0.789       0.000       0.357       0.000       0.000
    67     3     8  1982     156     156  hru156                 4.544      24.379       2.733       0.667      10.086       2.276       0.000       1.908       0.000       0.357       0.000       0.000
    67     3     8  1982     157     157  hru157                18.550      95.575      10.716       0.658      20.493       2.091       0.000       7.564       0.000       0.357       0.000       0.000
    67     3     8  1982     158     158  hru158                 4.559      24.468       2.743       0.667      10.447       2.275       0.000       1.915       0.000       0.357       0.000       0.000
    67     3     8  1982     159     159  hru159                 1.875      10.148       1.137       0.668       6.551       2.318       0.000       0.792       0.000       0.357       0.000       0.000
    67     3     8  1982     160     160  hru160                10.635      56.072       6.286       0.664      16.147       2.188       0.000       4.411       0.000       0.357       0.000       0.000
    67     3     8  1982     161     161  hru161                19.806     101.743      11.408       0.659      22.286       2.075       0.000       8.060       0.000       0.357       0.000       0.000
    67     3     8  1982     162     162  hru162                 4.663      25.011       2.804       0.668      10.413       2.274       0.000       1.958       0.000       0.357       0.000       0.000
    67     3     8  1982     163     163  hru163               200.440     554.675      62.199       0.515      17.957       0.820       0.000      27.485       0.000       0.357       0.000       0.000
    67     3     8  1982     164     164  hru164               239.791     596.701      66.912       0.500      19.806       0.735       0.000      27.627       0.000       0.357       0.000       0.000
    67     3     8  1982     165     165  hru165                31.442     154.887      17.363       0.631       6.820       1.938       0.000      12.382       0.000       0.357       0.000       0.000
    67     3     8  1982     166     166  hru166               174.482     521.244      58.448       0.525      16.398       0.881       0.000      27.314       0.000       0.357       0.000       0.000
    67     3     8  1982     167     167  hru167                69.027     304.051      34.088       0.592      10.305       1.477       0.000      24.775       0.000       0.357       0.000       0.000
    67     3     8  1982     168     168  hru168                 4.917      26.344       2.953       0.666      10.322       2.271       0.000       2.062       0.000       0.357       0.000       0.000
    67     3     8  1982     169     169  hru169               269.514     624.792      70.062       0.492      21.870       0.686       0.000      27.829       0.000       0.357       0.000       0.000
    67     3     8  1982     170     170  hru170               199.956     554.273      62.153       0.515      18.350       0.821       0.000      27.497       0.000       0.357       0.000       0.000
    67     3     8  1982     171     171  hru171                67.084     297.366      33.338       0.594      10.479       1.501       0.000      24.481       0.000       0.357       0.000       0.000
    67     3     8  1982     172     172  hru172                25.318     128.033      14.357       0.656      24.814       2.009       0.000      10.185       0.000       0.357       0.000       0.000
    67     3     8  1982     173     173  hru173                 1.704       9.281       1.040       0.669       6.466       2.320       0.000       0.724       0.000       0.357       0.000       0.000
    67     3     8  1982     174     174  hru174                 4.273      23.003       2.579       0.668      10.410       2.279       0.000       1.800       0.000       0.357       0.000       0.000
    67     3     8  1982     175     175  hru175                18.598      96.341      10.802       0.661      22.751       2.087       0.000       7.626       0.000       0.357       0.000       0.000
    67     3     8  1982     176     176  hru176                15.414      88.888      10.027       0.562      13.281       1.815       0.000       6.579       0.000       1.573       0.000       0.000
