 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    67     3     8  1982      15      15  hru015              3113.609       0.000       0.000    2589.506      24.776    2614.282     193.461      31.742       0.000       0.000      31.742    2589.527      83.719     296.913     348.339     301.845     100.832       0.000       0.000       0.000      31.938       0.000       0.000       0.000       0.000       0.000    2589.527       0.000       0.000      24.776       0.000       0.000       0.000       0.000       0.000     272.037       1.636     273.452       0.000       0.000       0.000       0.000
    67     3     8  1982      16      16  hru016              3113.609       0.000       0.000    2505.984      50.945    2556.928     191.070      32.000       0.000       0.000      32.000    2506.038      81.977     286.229     348.339     298.845      97.833       0.000       0.000       0.000      32.198       0.000       0.000       0.000       0.000       0.000    2506.038       0.000       0.000      50.945       0.000       0.000       0.000       0.000       0.000     328.553       4.157     562.284       0.000       0.000       0.000       0.000
    67     3     8  1982      17      17  hru017              3113.609       0.000       0.000    2588.071      25.065    2613.136     193.421      31.826       0.000       0.000      31.826    2588.122      83.694     296.716     348.339     301.796     100.783       0.000       0.000       0.000      32.022       0.000       0.000       0.000       0.000       0.000    2588.122       0.000       0.000      25.065       0.000       0.000       0.000       0.000       0.000     273.078       3.978     276.642       0.000       0.000       0.000       0.000
    67     3     8  1982      18      18  hru018              3113.609       0.000       0.000    2523.269      45.622    2568.890     191.578      31.842       0.000       0.000      31.842    2523.457      82.422     288.456     348.339     299.495      98.483       0.000       0.000       0.000      32.039       0.000       0.000       0.000       0.000       0.000    2523.457       0.000       0.000      45.622       0.000       0.000       0.000       0.000       0.000     316.773      14.549     503.536       0.000       0.000       0.000       0.000
    67     3     8  1982      19      19  hru019              3113.609       0.000       0.000    1431.882      91.785    1523.667     422.318      31.476       0.000       0.000      31.476    1431.890      72.185     294.531     508.746     374.881      86.878       0.000       0.000       0.000      31.689       0.000       0.000       0.000       0.000       0.000    1431.890       0.000       0.000      91.785       0.000       0.000       0.000       0.000       0.000    1133.171       0.440     165.305       0.000       0.000       0.000       0.000
    67     3     8  1982      20      20  hru020              3113.609       0.000       0.000    1278.040     163.538    1441.578     405.852      31.543       0.000       0.000      31.543    1278.044      71.757     276.068     507.698     364.307      82.831       0.000       0.000       0.000      31.760       0.000       0.000       0.000       0.000       0.000    1278.044       0.000       0.000     163.538       0.000       0.000       0.000       0.000       0.000    1228.854       0.268     294.532       0.000       0.000       0.000       0.000
    67     3     8  1982      21      21  hru021              3113.609       0.000       0.000    1508.203      58.047    1566.250     430.303      31.465       0.000       0.000      31.465    1508.227      72.435     303.869     508.746     379.992      89.279       0.000       0.000       0.000      31.677       0.000       0.000       0.000       0.000       0.000    1508.227       0.000       0.000      58.047       0.000       0.000       0.000       0.000       0.000    1083.773       1.352     104.543       0.000       0.000       0.000       0.000
    67     3     8  1982      22      22  hru022              3113.609       0.000       0.000    1431.098      92.096    1523.195     422.233      31.492       0.000       0.000      31.492    1431.111      72.183     294.431     508.746     374.827      86.854       0.000       0.000       0.000      31.705       0.000       0.000       0.000       0.000       0.000    1431.111       0.000       0.000      92.096       0.000       0.000       0.000       0.000       0.000    1133.695       0.733     165.865       0.000       0.000       0.000       0.000
    67     3     8  1982      23      23  hru023              3113.609       0.000       0.000    1231.227     188.737    1419.964     400.280      31.472       0.000       0.000      31.472    1231.271      71.606     270.043     507.053     360.694      81.515       0.000       0.000       0.000      31.688       0.000       0.000       0.000       0.000       0.000    1231.271       0.000       0.000     188.737       0.000       0.000       0.000       0.000       0.000    1255.011       2.365     339.916       0.000       0.000       0.000       0.000
    67     3     8  1982      24      24  hru024              3113.609       0.000       0.000    1431.031      92.054    1523.084     422.225      31.523       0.000       0.000      31.523    1431.071      72.182     294.420     508.746     374.821      86.852       0.000       0.000       0.000      31.736       0.000       0.000       0.000       0.000       0.000    1431.071       0.000       0.000      92.054       0.000       0.000       0.000       0.000       0.000    1133.756       2.270     165.789       0.000       0.000       0.000       0.000
