 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
     67     3     8  1982     15       0  rtu0150             3113.609       0.000       0.000    1178.338     215.283    1393.622     394.374      31.954       0.000       0.000      31.954    1178.412      71.432     263.587     506.476     355.051      80.139       0.000       0.000       0.000      32.174       0.000       0.000       0.000       0.000       0.000    1178.412       0.000       0.000     215.283       0.000       0.000       0.000       0.000       0.000    1285.555       3.824     387.725       0.000       0.000       0.000       0.000
     67     3     8  1982     16       0  rtu0160             3113.609       0.000       0.000    1210.542     198.859    1409.401     397.923      31.799       0.000       0.000      31.799    1210.585      71.539     267.453     506.820     357.378      80.969       0.000       0.000       0.000      32.017       0.000       0.000       0.000       0.000       0.000    1210.585       0.000       0.000     198.859       0.000       0.000       0.000       0.000       0.000    1267.156       2.243     358.145       0.000       0.000       0.000       0.000
     67     3     8  1982     17       0  rtu0170             3113.609       0.000       0.000    2494.049      54.309    2548.359     190.716      32.272       0.000       0.000      32.272    2494.049      81.646     284.669     348.339     297.916      97.378       0.000       0.000       0.000      32.472       0.000       0.000       0.000       0.000       0.000    2494.049       0.000       0.000      54.309       0.000       0.000       0.000       0.000       0.000     336.806       0.002     599.420       0.000       0.000       0.000       0.000
     67     3     8  1982     18       0  rtu0180             3113.609       0.000       0.000    1677.218     156.932    1834.150     305.448      31.930       0.000       0.000      31.930    1677.238      75.576     284.982     461.896     341.182      86.769       0.000       0.000       0.000      32.143       0.000       0.000       0.000       0.000       0.000    1677.238       0.000       0.000     156.932       0.000       0.000       0.000       0.000       0.000     936.631       1.076     416.967       0.000       0.000       0.000       0.000
     67     3     8  1982     19       0  rtu0190             3113.609       0.000       0.000    2319.381      94.641    2414.022     182.222      31.594       0.000       0.000      31.594    2319.393      81.063     310.351     401.429     320.348      94.960       0.000       0.000       0.000      31.796       0.000       0.000       0.000       0.000       0.000    2319.393       0.000       0.000      94.641       0.000       0.000       0.000       0.000       0.000     483.073       0.961     485.872       0.000       0.000       0.000       0.000
     67     3     8  1982     20       0  rtu0200             3113.609       0.000       0.000    2995.591      41.580    3037.171      39.209      31.643       0.000       0.000      31.643    2995.621      87.025     332.504     333.459     293.416     102.766       0.000       0.000       0.000      31.835       0.000       0.000       0.000       0.000       0.000    2995.621       0.000       0.000      41.580       0.000       0.000       0.000       0.000       0.000       5.052       2.566     504.922       0.000       0.000       0.000       0.000
     67     3     8  1982     21       0  rtu0210             3113.609       0.000       0.000    1192.029     209.151    1401.180     395.979      31.413       0.000       0.000      31.413    1192.356      71.479     265.369     506.613     356.102      80.508       0.000       0.000       0.000      31.629       0.000       0.000       0.000       0.000       0.000    1192.356       0.000       0.000     209.151       0.000       0.000       0.000       0.000       0.000    1276.970      16.686     376.681       0.000       0.000       0.000       0.000
     67     3     8  1982     22       0  rtu0220             3113.609       0.000       0.000    1222.980     192.823    1415.803     399.436      31.416       0.000       0.000      31.416    1223.666      71.582     269.129     506.960     358.370      81.317       0.000       0.000       0.000      31.632       0.000       0.000       0.000       0.000       0.000    1223.666       0.000       0.000     192.823       0.000       0.000       0.000       0.000       0.000    1259.255      34.660     347.275       0.000       0.000       0.000       0.000
     67     3     8  1982     23       0  rtu0230             3113.609       0.000       0.000    2536.495      41.426    2577.921     191.954      31.839       0.000       0.000      31.839    2536.655      82.682     290.142     348.339     299.530      98.952       0.000       0.000       0.000      32.035       0.000       0.000       0.000       0.000       0.000    2536.655       0.000       0.000      41.426       0.000       0.000       0.000       0.000       0.000     307.855      12.392     457.227       0.000       0.000       0.000       0.000
     67     3     8  1982     24       0  rtu0240             3113.609       0.000       0.000    2436.401      72.239    2508.640     189.052      32.707       0.000       0.000      32.707    2436.401      80.101     277.410     348.339     295.726      95.242       0.000       0.000       0.000      32.910       0.000       0.000       0.000       0.000       0.000    2436.401       0.000       0.000      72.239       0.000       0.000       0.000       0.000       0.000     375.204       0.002     797.314       0.000       0.000       0.000       0.000
