 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    67     3     8  1982      16      16  hru016               588.600       0.000       0.000     473.734       9.631     483.365      36.120       6.049       0.000       0.000       6.049     473.744      81.977     286.229     348.339     298.845      97.833       0.000       0.000       0.000       6.087       0.000       0.000       0.000       0.000       0.000     473.744       0.000       0.000       9.631       0.000       0.000       0.000       0.000       0.000      62.110       0.786     106.295       0.000       0.000       0.000       0.000
    67     3     8  1982      17      17  hru017               588.600       0.000       0.000     489.252       4.738     493.990      36.565       6.016       0.000       0.000       6.016     489.261      83.694     296.716     348.339     301.796     100.783       0.000       0.000       0.000       6.053       0.000       0.000       0.000       0.000       0.000     489.261       0.000       0.000       4.738       0.000       0.000       0.000       0.000       0.000      51.623       0.752      52.297       0.000       0.000       0.000       0.000
    67     3     8  1982      18      18  hru018               588.600       0.000       0.000     477.002       8.624     485.626      36.216       6.019       0.000       0.000       6.019     477.037      82.422     288.456     348.339     299.495      98.483       0.000       0.000       0.000       6.057       0.000       0.000       0.000       0.000       0.000     477.037       0.000       0.000       8.624       0.000       0.000       0.000       0.000       0.000      59.883       2.750      95.189       0.000       0.000       0.000       0.000
    67     3     8  1982      19      19  hru019               588.600       0.000       0.000     270.685      17.351     288.036      79.835       5.950       0.000       0.000       5.950     270.686      72.185     294.531     508.746     374.881      86.878       0.000       0.000       0.000       5.990       0.000       0.000       0.000       0.000       0.000     270.686       0.000       0.000      17.351       0.000       0.000       0.000       0.000       0.000     214.216       0.083      31.249       0.000       0.000       0.000       0.000
    67     3     8  1982      20      20  hru020               588.600       0.000       0.000     241.602      30.915     272.517      76.723       5.963       0.000       0.000       5.963     241.603      71.757     276.068     507.698     364.307      82.831       0.000       0.000       0.000       6.004       0.000       0.000       0.000       0.000       0.000     241.603       0.000       0.000      30.915       0.000       0.000       0.000       0.000       0.000     232.304       0.051      55.679       0.000       0.000       0.000       0.000
    67     3     8  1982      21      21  hru021               588.600       0.000       0.000     285.112      10.973     296.086      81.345       5.948       0.000       0.000       5.948     285.117      72.435     303.869     508.746     379.992      89.279       0.000       0.000       0.000       5.988       0.000       0.000       0.000       0.000       0.000     285.117       0.000       0.000      10.973       0.000       0.000       0.000       0.000       0.000     204.878       0.256      19.763       0.000       0.000       0.000       0.000
    67     3     8  1982      22      22  hru022               588.600       0.000       0.000     270.536      17.410     287.946      79.819       5.953       0.000       0.000       5.953     270.539      72.183     294.431     508.746     374.827      86.854       0.000       0.000       0.000       5.994       0.000       0.000       0.000       0.000       0.000     270.539       0.000       0.000      17.410       0.000       0.000       0.000       0.000       0.000     214.315       0.138      31.355       0.000       0.000       0.000       0.000
    67     3     8  1982      23      23  hru023               588.600       0.000       0.000     232.752      35.679     268.432      75.669       5.949       0.000       0.000       5.949     232.761      71.606     270.043     507.053     360.694      81.515       0.000       0.000       0.000       5.990       0.000       0.000       0.000       0.000       0.000     232.761       0.000       0.000      35.679       0.000       0.000       0.000       0.000       0.000     237.249       0.447      64.258       0.000       0.000       0.000       0.000
    67     3     8  1982      24      24  hru024               588.600       0.000       0.000     270.524      17.402     287.926      79.818       5.959       0.000       0.000       5.959     270.531      72.182     294.420     508.746     374.821      86.852       0.000       0.000       0.000       5.999       0.000       0.000       0.000       0.000       0.000     270.531       0.000       0.000      17.402       0.000       0.000       0.000       0.000       0.000     214.326       0.429      31.341       0.000       0.000       0.000       0.000
    67     3     8  1982      25      25  hru025               588.600       0.000       0.000     238.262      32.714     270.975      76.312       5.967       0.000       0.000       5.967     238.283      71.701     273.728     507.446     362.899      82.314       0.000       0.000       0.000       6.008       0.000       0.000       0.000       0.000       0.000     238.283       0.000       0.000      32.714       0.000       0.000       0.000       0.000       0.000     234.158       1.140      58.918       0.000       0.000       0.000       0.000
    67     3     8  1982      26      26  hru026               588.600       0.000       0.000     236.369      33.670     270.039      76.079       6.003       0.000       0.000       6.003     236.370      71.668     272.381     507.307     362.101      82.027       0.000       0.000       0.000       6.045       0.000       0.000       0.000       0.000       0.000     236.370       0.000       0.000      33.670       0.000       0.000       0.000       0.000       0.000     235.270       0.060      60.639       0.000       0.000       0.000       0.000
    67     3     8  1982      27      27  hru027               588.600       0.000       0.000     269.838      17.682     287.520      79.743       5.975       0.000       0.000       5.975     269.838      72.171     293.959     508.746     374.569      86.738       0.000       0.000       0.000       6.016       0.000       0.000       0.000       0.000       0.000     269.838       0.000       0.000      17.682       0.000       0.000       0.000       0.000       0.000     214.787       0.018      31.845       0.000       0.000       0.000       0.000
    67     3     8  1982      28      28  hru028               588.600       0.000       0.000     227.307      38.369     265.676      75.053       6.022       0.000       0.000       6.022     227.316      71.512     266.470     506.733     358.582      80.759       0.000       0.000       0.000       6.063       0.000       0.000       0.000       0.000       0.000     227.316       0.000       0.000      38.369       0.000       0.000       0.000       0.000       0.000     240.427       0.450      69.103       0.000       0.000       0.000       0.000
    67     3     8  1982      29      29  hru029               588.600       0.000       0.000     460.580      13.656     474.236      35.739       6.183       0.000       0.000       6.183     460.580      80.101     277.410     348.339     296.255      95.242       0.000       0.000       0.000       6.221       0.000       0.000       0.000       0.000       0.000     460.580       0.000       0.000      13.656       0.000       0.000       0.000       0.000       0.000      70.929       0.000     150.725       0.000       0.000       0.000       0.000
    67     3     8  1982      30      30  hru030               588.600       0.000       0.000     471.478      10.267     481.745      36.053       6.101       0.000       0.000       6.101     471.478      81.646     284.669     348.339     298.391      97.378       0.000       0.000       0.000       6.138       0.000       0.000       0.000       0.000       0.000     471.478       0.000       0.000      10.267       0.000       0.000       0.000       0.000       0.000      63.670       0.000     113.315       0.000       0.000       0.000       0.000
    67     3     8  1982      31      31  hru031               588.600       0.000       0.000     229.642      37.083     266.725      75.306       6.055       0.000       0.000       6.055     229.649      71.552     267.912     506.874     359.451      81.075       0.000       0.000       0.000       6.096       0.000       0.000       0.000       0.000       0.000     229.649       0.000       0.000      37.083       0.000       0.000       0.000       0.000       0.000     239.150       0.399      66.787       0.000       0.000       0.000       0.000
    67     3     8  1982      32      32  hru032               588.600       0.000       0.000     468.165      11.333     479.498      35.959       6.104       0.000       0.000       6.104     468.166      81.160     282.475     348.339     297.744      96.732       0.000       0.000       0.000       6.142       0.000       0.000       0.000       0.000       0.000     468.166       0.000       0.000      11.333       0.000       0.000       0.000       0.000       0.000      65.864       0.067     125.085       0.000       0.000       0.000       0.000
    67     3     8  1982      33      33  hru033               588.600       0.000       0.000     468.537      11.198     479.735      35.969       6.110       0.000       0.000       6.110     468.546      81.215     282.719     348.339     297.817      96.804       0.000       0.000       0.000       6.148       0.000       0.000       0.000       0.000       0.000     468.546       0.000       0.000      11.198       0.000       0.000       0.000       0.000       0.000      65.620       0.708     123.593       0.000       0.000       0.000       0.000
    67     3     8  1982      34      34  hru034               588.600       0.000       0.000     464.564      12.422     476.986      35.854       6.148       0.000       0.000       6.148     464.566      80.634     280.060     348.339     297.035      96.022       0.000       0.000       0.000       6.186       0.000       0.000       0.000       0.000       0.000     464.566       0.000       0.000      12.422       0.000       0.000       0.000       0.000       0.000      68.278       0.193     137.109       0.000       0.000       0.000       0.000
    67     3     8  1982      35      35  hru035               588.600       0.000       0.000     466.697      11.729     478.425      35.915       6.146       0.000       0.000       6.146     466.702      80.939     281.464     348.339     297.450      96.437       0.000       0.000       0.000       6.184       0.000       0.000       0.000       0.000       0.000     466.702       0.000       0.000      11.729       0.000       0.000       0.000       0.000       0.000      66.875       0.444     129.452       0.000       0.000       0.000       0.000
    67     3     8  1982      36      36  hru036               588.600       0.000       0.000     245.517      28.890     274.408      77.192       5.960       0.000       0.000       5.960     245.518      71.819     278.716     507.896     365.907      83.422       0.000       0.000       0.000       6.001       0.000       0.000       0.000       0.000       0.000     245.518       0.000       0.000      28.890       0.000       0.000       0.000       0.000       0.000     230.030       0.037      52.031       0.000       0.000       0.000       0.000
    67     3     8  1982      37      37  hru037               588.600       0.000       0.000     565.427       8.667     574.094       7.412       5.989       0.000       0.000       5.989     565.427      87.024     332.463     333.459     293.414     102.757       0.000       0.000       0.000       6.026       0.000       0.000       0.000       0.000       0.000     565.427       0.000       0.000       8.667       0.000       0.000       0.000       0.000       0.000       0.996       0.028     105.248       0.000       0.000       0.000       0.000
    67     3     8  1982      38      38  hru038               588.600       0.000       0.000     236.618      33.585     270.203      76.112       5.980       0.000       0.000       5.980     236.618      71.672     272.577     507.322     362.213      82.065       0.000       0.000       0.000       6.021       0.000       0.000       0.000       0.000       0.000     236.618       0.000       0.000      33.585       0.000       0.000       0.000       0.000       0.000     235.102       0.014      60.486       0.000       0.000       0.000       0.000
    67     3     8  1982      39      39  hru039               588.600       0.000       0.000     564.302       9.726     574.028       7.411       5.970       0.000       0.000       5.970     564.306      87.023     332.409     333.459     293.403     102.746       0.000       0.000       0.000       6.006       0.000       0.000       0.000       0.000       0.000     564.306       0.000       0.000       9.726       0.000       0.000       0.000       0.000       0.000       1.050       0.368     118.109       0.000       0.000       0.000       0.000
    67     3     8  1982      40      40  hru040               588.600       0.000       0.000     565.238       8.842     574.080       7.412       5.983       0.000       0.000       5.983     565.245      87.024     332.454     333.459     293.412     102.755       0.000       0.000       0.000       6.020       0.000       0.000       0.000       0.000       0.000     565.245       0.000       0.000       8.842       0.000       0.000       0.000       0.000       0.000       1.005       0.575     107.375       0.000       0.000       0.000       0.000
    67     3     8  1982      41      41  hru041               588.600       0.000       0.000     569.730       4.649     574.379       7.413       5.976       0.000       0.000       5.976     569.733      87.028     332.668     333.459     293.458     102.801       0.000       0.000       0.000       6.012       0.000       0.000       0.000       0.000       0.000     569.733       0.000       0.000       4.649       0.000       0.000       0.000       0.000       0.000       0.791       0.192      56.451       0.000       0.000       0.000       0.000
    67     3     8  1982      42      42  hru042               588.600       0.000       0.000     225.342      39.538     264.881      74.856       5.938       0.000       0.000       5.938     225.404      71.479     265.369     506.613     357.903      80.508       0.000       0.000       0.000       5.979       0.000       0.000       0.000       0.000       0.000     225.404       0.000       0.000      39.538       0.000       0.000       0.000       0.000       0.000     241.400       3.154      71.208       0.000       0.000       0.000       0.000
