 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
    67     3     8  1982      10      10  cha010               0.9097E+01     0.6081E+05     0.1539E+05     0.6095E+04     0.3877E+06     0.5635E+03     0.1714E+04     0.2896E+03     0.2279E+03     0.2370E+03     0.1251E+04     0.1233E+03     0.2390E+03     0.7269E+08     0.1284E-34     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.6187E+01     0.3906E+05     0.1709E+06     0.2872E+05     0.5369E+05     0.1950E+05     0.1468E+06     0.7262E+04     0.1445E+05     0.9637E+10     0.3032E+06     0.1179E-03     0.1179E-03     0.1179E-03     0.1179E-03     0.1179E-03     0.0000E+00     0.3594E+01     0.6152E+01     0.3895E+05     0.1560E+06     0.2653E+05     0.5631E+05     0.2756E+05     0.1461E+06     0.1384E+05     0.1837E+05     0.6550E+10     0.1619E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3565E+01     0.1936E+02
    67     3     8  1982      11      11  cha011               0.5502E+01     0.3678E+05     0.9309E+04     0.3686E+04     0.2377E+06     0.1692E+03     0.1195E+04     0.2024E+03     0.1477E+03     0.1422E+03     0.8258E+03     0.7163E+02     0.1567E+03     0.3051E+08     0.1116E-32     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.3961E+01     0.1226E+05     0.9918E+05     0.1677E+05     0.4533E+05     0.1382E+05     0.9259E+05     0.4623E+04     0.1183E+05     0.3659E+10     0.2852E+06     0.1179E-03     0.1179E-03     0.1179E-03     0.1179E-03     0.1179E-03     0.0000E+00     0.2643E+01     0.3940E+01     0.1221E+05     0.9196E+05     0.1571E+05     0.4720E+05     0.1803E+05     0.9342E+05     0.6740E+04     0.1398E+05     0.2702E+10     0.1816E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2629E+01     0.1936E+02
    67     3     8  1982      12      12  cha012               0.3740E+01     0.2500E+05     0.6328E+04     0.2506E+04     0.1576E+06     0.1107E+03     0.8070E+03     0.1357E+03     0.8774E+02     0.8213E+02     0.5213E+03     0.3828E+02     0.1024E+03     0.2159E+08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.3347E+01     0.1008E+05     0.8449E+05     0.1419E+05     0.3788E+05     0.1062E+05     0.7693E+05     0.3306E+04     0.1038E+05     0.3158E+10     0.2304E+06     0.5888E-04     0.5888E-04     0.5888E-04     0.5888E-04     0.5888E-04     0.0000E+00     0.2573E+01     0.3335E+01     0.1005E+05     0.7973E+05     0.1350E+05     0.3919E+05     0.1350E+05     0.7763E+05     0.4590E+04     0.1183E+05     0.2492E+10     0.1447E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2563E+01     0.1936E+02
    67     3     8  1982      13      13  cha013               0.1549E+02     0.1035E+06     0.2620E+05     0.1038E+05     0.7211E+06     0.1250E+04     0.4645E+04     0.7358E+03     0.6683E+03     0.5897E+03     0.3359E+04     0.4735E+03     0.6066E+03     0.1594E+09     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.7804E+01     0.5639E+05     0.2986E+06     0.4908E+05     0.9416E+05     0.3264E+05     0.2610E+06     0.9500E+04     0.3491E+05     0.1433E+11     0.6130E+06     0.1767E-03     0.1767E-03     0.1767E-03     0.1767E-03     0.1767E-03     0.0000E+00     0.4104E+01     0.7740E+01     0.5605E+05     0.2609E+06     0.4366E+05     0.1029E+06     0.5103E+05     0.2623E+06     0.3241E+05     0.3598E+05     0.8655E+10     0.8461E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4081E+01     0.1936E+02
    67     3     8  1982      14      14  cha014               0.2321E+01     0.1552E+05     0.3928E+04     0.1555E+04     0.1044E+06     0.1668E+03     0.7971E+03     0.1235E+03     0.6646E+02     0.6837E+02     0.4913E+03     0.2934E+02     0.1094E+03     0.2897E+08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.5274E+01     0.3561E+05     0.2258E+06     0.3704E+05     0.6801E+05     0.2808E+05     0.2024E+06     0.1586E+05     0.2480E+05     0.8889E+10     0.1730E+06     0.5895E-04     0.5895E-04     0.5895E-04     0.5895E-04     0.5895E-04     0.0000E+00     0.3243E+01     0.5266E+01     0.3557E+05     0.2200E+06     0.3621E+05     0.6949E+05     0.3197E+05     0.2053E+06     0.9346E+04     0.3491E+05     0.7948E+10     0.1677E-13     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3239E+01     0.1936E+02
    67     3     8  1982      15      15  cha015               0.5671E+01     0.3790E+05     0.9595E+04     0.3799E+04     0.2410E+06     0.3722E+03     0.1930E+04     0.2978E+03     0.1616E+03     0.1683E+03     0.1200E+04     0.1258E+03     0.2356E+03     0.6689E+08     0.7998E-36     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.3672E+01     0.2416E+05     0.1799E+06     0.2899E+05     0.5485E+05     0.1726E+05     0.1577E+06     0.1582E+05     0.1091E+05     0.7891E+10     0.3153E+06     0.5881E-04     0.5881E-04     0.5881E-04     0.5881E-04     0.5881E-04     0.0000E+00     0.2300E+01     0.3652E+01     0.2407E+05     0.1668E+06     0.2716E+05     0.5663E+05     0.2470E+05     0.1577E+06     0.1312E+05     0.2311E+05     0.5767E+10     0.1682E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2296E+01     0.1936E+02
    67     3     8  1982      16      16  cha016               0.3349E+01     0.2238E+05     0.5666E+04     0.2244E+04     0.1301E+06     0.1045E+03     0.7935E+03     0.1325E+03     0.8122E+02     0.6985E+02     0.4829E+03     0.5255E+02     0.1020E+03     0.2121E+08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.2428E+01     0.8196E+04     0.7432E+05     0.1231E+05     0.3741E+05     0.7496E+04     0.6567E+05     0.1075E+05     0.1419E+04     0.2893E+10     0.2177E+06     0.5889E-04     0.5889E-04     0.5889E-04     0.5889E-04     0.5889E-04     0.0000E+00     0.2355E+01     0.2417E+01     0.8169E+04     0.6983E+05     0.1167E+05     0.3761E+05     0.1014E+05     0.6530E+05     0.5273E+04     0.1046E+05     0.2220E+10     0.1124E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2351E+01     0.1936E+02
    67     3     8  1982      17      17  cha017               0.4275E+00     0.2858E+04     0.7233E+03     0.2864E+03     0.1082E+05     0.6246E+01     0.2470E+02     0.4663E+01     0.1457E+01     0.1231E+01     0.1042E+02     0.7424E+00     0.5906E+00     0.1115E+07     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.1451E+01     0.2979E+04     0.1644E+05     0.3092E+04     0.3429E+04     0.1106E+04     0.1043E+05     0.8037E+03     0.1929E+01     0.7768E+09     0.1783E+05     0.4971E-04     0.4971E-04     0.4971E-04     0.4971E-04     0.4971E-04     0.0000E+00     0.5671E+01     0.1450E+01     0.2979E+04     0.1623E+05     0.3058E+04     0.3431E+04     0.1228E+04     0.1034E+05     0.5224E+03     0.4663E+03     0.7278E+09     0.1177E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5665E+01     0.1936E+02
    67     3     8  1982      18      18  cha018               0.1636E+01     0.1093E+05     0.2768E+04     0.1096E+04     0.4673E+05     0.9674E+02     0.3089E+03     0.4699E+02     0.1458E+02     0.1091E+02     0.1417E+03     0.1424E+02     0.7451E+01     0.1742E+08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.1413E+01     0.1066E+05     0.5237E+05     0.8746E+04     0.8234E+04     0.1795E+04     0.3798E+05     0.1967E+04     0.4503E+01     0.3220E+10     0.2196E+06     0.1179E-03     0.1179E-03     0.1179E-03     0.1179E-03     0.1179E-03     0.0000E+00     0.6169E+01     0.1410E+01     0.1065E+05     0.4959E+05     0.8343E+04     0.8129E+04     0.3283E+04     0.3703E+05     0.2737E+04     0.1687E+04     0.2546E+10     0.1484E-09     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6149E+01     0.1936E+02
    67     3     8  1982      19      19  cha019               0.9345E+00     0.6246E+04     0.1581E+04     0.6261E+03     0.2017E+05     0.8462E+02     0.2058E+03     0.2802E+02     0.5908E+01     0.4051E+01     0.8759E+02     0.8945E+01     0.8624E-03     0.1630E+08     0.1301E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.5792E+00     0.8362E+04     0.3845E+05     0.6213E+04     0.3272E+04     0.2036E+03     0.2870E+05     0.0000E+00     0.0000E+00     0.2991E+10     0.2334E+06     0.2359E-03     0.2359E-03     0.2359E-03     0.2359E-03     0.2359E-03     0.0000E+00     0.6638E+01     0.5780E+00     0.8355E+04     0.3634E+05     0.5917E+04     0.3181E+04     0.1362E+04     0.2668E+05     0.1843E+04     0.4484E+01     0.2313E+10     0.5118E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6618E+01     0.1936E+02
