 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
     67     3     8  1982     45       0  rtu0450               28.517     111.188      11.984       0.550      16.318       1.845       0.000      12.304       0.000       1.355       0.000       0.000
     67     3     8  1982     46       0  rtu0460               23.074      91.311       9.840       0.541      14.334       1.929       0.000      10.062       0.000       1.359       0.000       0.000
     67     3     8  1982     47       0  rtu0470               10.298      60.207       6.792       0.576      11.431       1.883       0.000       4.443       0.000       1.580       0.000       0.000
     67     3     8  1982     48       0  rtu0480                9.406      54.961       6.200       0.579      10.751       1.897       0.000       4.053       0.000       1.583       0.000       0.000
     67     3     8  1982     49       0  rtu0490               14.649      85.545       9.651       0.560      14.591       1.810       0.000       6.328       0.000       1.568       0.000       0.000
     67     3     8  1982     50       0  rtu0500               74.545     225.715      25.459       0.529      13.619       1.570       0.000      11.402       0.000       1.573       0.000       0.000
     67     3     8  1982     51       0  rtu0510               26.978     153.441      17.312       0.541      21.371       1.648       0.000      11.452       0.000       1.549       0.000       0.000
     67     3     8  1982     52       0  rtu0520               19.317     111.268      12.553       0.553      16.414       1.752       0.000       8.258       0.000       1.562       0.000       0.000
     67     3     8  1982     53       0  rtu0530               26.113     148.109      16.710       0.544      18.652       1.675       0.000      11.047       0.000       1.557       0.000       0.000
     67     3     8  1982     54       0  rtu0540               20.130     111.045      12.503       0.586      18.485       1.847       0.000       8.429       0.000       1.194       0.000       0.000
     67     3     8  1982     55       0  rtu0550               17.634     101.939      11.500       0.556      15.810       1.773       0.000       7.556       0.000       1.565       0.000       0.000
     67     3     8  1982     56       0  rtu0560               17.441     100.696      11.360       0.557      15.360       1.778       0.000       7.463       0.000       1.566       0.000       0.000
     67     3     8  1982     57       0  rtu0570               10.733      56.416       6.325       0.664      16.159       2.189       0.000       4.443       0.000       0.357       0.000       0.000
     67     3     8  1982     58       0  rtu0580               15.820      91.814      10.358       0.559      14.923       1.797       0.000       6.797       0.000       1.567       0.000       0.000
     67     3     8  1982     59       0  rtu0590               18.474     106.620      12.029       0.555      16.079       1.762       0.000       7.908       0.000       1.563       0.000       0.000
     67     3     8  1982     60       0  rtu0600               13.255      69.168       7.755       0.662      18.142       2.157       0.000       5.458       0.000       0.357       0.000       0.000
     67     3     8  1982     61       0  rtu0610               17.821     102.720      11.589       0.560      15.684       1.774       0.000       7.626       0.000       1.565       0.000       0.000
     67     3     8  1982     62       0  rtu0620               13.527      78.201       8.822       0.569      12.742       1.841       0.000       5.785       0.000       1.576       0.000       0.000
     67     3     8  1982     63       0  rtu0630               16.773      93.690      10.550       0.599      17.244       1.923       0.000       7.085       0.000       1.058       0.000       0.000
     67     3     8  1982     64       0  rtu0640               14.497      83.691       9.441       0.568      13.242       1.827       0.000       6.197       0.000       1.574       0.000       0.000
     67     3     8  1982     65       0  rtu0650                4.758      27.826       3.139       0.620       6.724       1.982       0.000       2.048       0.000       1.595       0.000       0.000
     67     3     8  1982     66       0  rtu0660               78.908     256.296      28.909       0.521      14.823       1.497       0.000      13.431       0.000       1.570       0.000       0.000
     67     3     8  1982     67       0  rtu0670               22.900      90.538       9.757       0.539      14.017       1.936       0.000       9.976       0.000       1.359       0.000       0.000
     67     3     8  1982     68       0  rtu0680                7.009      40.905       4.614       0.598       8.644       1.941       0.000       3.014       0.000       1.589       0.000       0.000
     67     3     8  1982     69       0  rtu0690               13.085      76.105       8.586       0.569      13.090       1.839       0.000       5.628       0.000       1.573       0.000       0.000
     67     3     8  1982     70       0  rtu0700               18.970     109.155      12.315       0.556      15.014       1.761       0.000       8.099       0.000       1.564       0.000       0.000
     67     3     8  1982     71       0  rtu0710               22.998     131.957      14.888       0.547      18.905       1.697       0.000       9.819       0.000       1.554       0.000       0.000
     67     3     8  1982     72       0  rtu0720               25.338     144.487      16.302       0.544      19.498       1.672       0.000      10.770       0.000       1.552       0.000       0.000
     67     3     8  1982     73       0  rtu0730               17.522     100.361      11.323       0.571      13.993       1.790       0.000       7.464       0.000       1.568       0.000       0.000
     67     3     8  1982     74       0  rtu0740               11.551      66.669       7.521       0.591       9.985       1.879       0.000       4.939       0.000       1.580       0.000       0.000
     67     3     8  1982     75       0  rtu0750               18.917     109.273      12.328       0.554      16.530       1.752       0.000       8.107       0.000       1.561       0.000       0.000
     67     3     8  1982     76       0  rtu0760               21.339     122.887      13.865       0.549      18.193       1.718       0.000       9.133       0.000       1.556       0.000       0.000
     67     3     8  1982     77       0  rtu0770               22.637     129.522      14.613       0.549      17.270       1.712       0.000       9.635       0.000       1.558       0.000       0.000
     67     3     8  1982     78       0  rtu0780               20.392     118.138      13.329       0.550      18.355       1.727       0.000       8.775       0.000       1.557       0.000       0.000
     67     3     8  1982     79       0  rtu0790               28.504     155.394      17.502       0.576      22.681       1.720       0.000      11.836       0.000       1.241       0.000       0.000
     67     3     8  1982     80       0  rtu0800               31.812     164.115      18.442       0.633      26.276       1.808       0.000      12.846       0.000       0.791       0.000       0.000
     67     3     8  1982     81       0  rtu0810               31.441     171.425      19.315       0.568      23.519       1.669       0.000      13.035       0.000       1.299       0.000       0.000
     67     3     8  1982     82       0  rtu0820               19.902     115.098      12.986       0.551      17.712       1.736       0.000       8.546       0.000       1.558       0.000       0.000
     67     3     8  1982     83       0  rtu0830               18.305     106.159      11.977       0.554      16.704       1.757       0.000       7.873       0.000       1.560       0.000       0.000
     67     3     8  1982     84       0  rtu0840              118.042     255.389      28.636       0.621      27.478       1.710       0.000      14.530       0.000       0.356       0.000       0.000
     67     3     8  1982     85       0  rtu0850              118.557     370.444      41.538       0.571      16.188       1.315       0.000      21.309       0.000       0.357       0.000       0.000
     67     3     8  1982     86       0  rtu0860               17.144      98.243      11.084       0.571      13.619       1.796       0.000       7.302       0.000       1.569       0.000       0.000
     67     3     8  1982     87       0  rtu0870               19.406     111.845      12.618       0.553      16.496       1.749       0.000       8.301       0.000       1.561       0.000       0.000
     67     3     8  1982     88       0  rtu0880                8.471      44.616       5.002       0.665      13.827       2.222       0.000       3.512       0.000       0.357       0.000       0.000
     67     3     8  1982     89       0  rtu0890              119.131     371.426      41.648       0.572      17.144       1.317       0.000      21.213       0.000       0.357       0.000       0.000
     67     3     8  1982     90       0  rtu0900               11.899      69.578       7.849       0.604      12.552       1.933       0.000       5.148       0.000       1.634       0.000       0.000
     67     3     8  1982     91       0  rtu0910               15.694      90.616      10.223       0.565      14.151       1.806       0.000       6.717       0.000       1.570       0.000       0.000
     67     3     8  1982     92       0  rtu0920              132.512     438.676      49.188       0.552      15.003       1.106       0.000      26.211       0.000       0.357       0.000       0.000
     67     3     8  1982     93       0  rtu0930               12.881      75.048       8.466       0.569      13.073       1.840       0.000       5.550       0.000       1.573       0.000       0.000
     67     3     8  1982     94       0  rtu0940               74.319     295.617      33.144       0.593      11.003       1.505       0.000      20.822       0.000       0.357       0.000       0.000
     67     3     8  1982     95       0  rtu0950               14.220      82.519       9.309       0.567      13.692       1.823       0.000       6.109       0.000       1.571       0.000       0.000
     67     3     8  1982     96       0  rtu0960                6.719      35.692       4.001       0.666      12.484       2.245       0.000       2.805       0.000       0.357       0.000       0.000
     67     3     8  1982     97       0  rtu0970               20.386     117.514      13.258       0.551      17.440       1.732       0.000       8.728       0.000       1.558       0.000       0.000
     67     3     8  1982     98       0  rtu0980                6.789      35.981       4.034       0.666      12.208       2.245       0.000       2.826       0.000       0.357       0.000       0.000
     67     3     8  1982     99       0  rtu0990               12.904      74.771       8.435       0.572      12.583       1.847       0.000       5.531       0.000       1.576       0.000       0.000
     67     3     8  1982    100       0  rtu1000              526.455     759.179      85.117       0.446      28.598       0.540       0.000      29.073       0.000       0.356       0.000       0.000
     67     3     8  1982    101       0  rtu1010               16.145      83.912       9.408       0.661      20.550       2.118       0.000       6.629       0.000       0.357       0.000       0.000
     67     3     8  1982    102       0  rtu1020               23.960      94.380      10.171       0.538      14.187       1.923       0.000      10.409       0.000       1.359       0.000       0.000
     67     3     8  1982    103       0  rtu1030               87.219     302.769      33.947       0.589      11.669       1.497       0.000      19.354       0.000       0.357       0.000       0.000
     67     3     8  1982    104       0  rtu1040               18.781      75.051       8.087       0.549      12.630       2.003       0.000       8.244       0.000       1.361       0.000       0.000
     67     3     8  1982    105       0  rtu1050               17.123      68.589       7.390       0.556      11.767       2.033       0.000       7.526       0.000       1.362       0.000       0.000
     67     3     8  1982    106       0  rtu1060               16.933      98.647      11.129       0.556      16.105       1.775       0.000       7.309       0.000       1.563       0.000       0.000
     67     3     8  1982    107       0  rtu1070               62.679     216.692      24.296       0.612      10.416       1.744       0.000      13.699       0.000       0.357       0.000       0.000
     67     3     8  1982    108       0  rtu1080               17.471     101.092      11.405       0.556      15.636       1.773       0.000       7.492       0.000       1.564       0.000       0.000
     67     3     8  1982    109       0  rtu1090               69.170     242.420      27.181       0.608      14.331       1.661       0.000      15.269       0.000       0.357       0.000       0.000
     67     3     8  1982    110       0  rtu1100               23.196      91.586       9.870       0.539      14.029       1.934       0.000      10.094       0.000       1.359       0.000       0.000
     67     3     8  1982    111       0  rtu1110               15.578      90.290      10.186       0.560      14.324       1.800       0.000       6.683       0.000       1.567       0.000       0.000
     67     3     8  1982    112       0  rtu1120                4.267      22.746       2.550       0.667       9.362       2.282       0.000       1.784       0.000       0.357       0.000       0.000
     67     3     8  1982    113       0  rtu1130               55.449     177.937      19.952       0.632      19.688       1.866       0.000      10.664       0.000       0.357       0.000       0.000
     67     3     8  1982    114       0  rtu1140                9.909      51.915       5.820       0.664      14.881       2.203       0.000       4.092       0.000       0.357       0.000       0.000
     67     3     8  1982    115       0  rtu1150              105.062     244.045      27.365       0.606      17.567       1.703       0.000      11.667       0.000       0.357       0.000       0.000
     67     3     8  1982    116       0  rtu1160                6.941      36.719       4.116       0.665      12.197       2.243       0.000       2.886       0.000       0.357       0.000       0.000
     67     3     8  1982    117       0  rtu1170               24.173     138.250      15.598       0.545      19.364       1.685       0.000      10.296       0.000       1.553       0.000       0.000
     67     3     8  1982    118       0  rtu1180               60.259     211.106      23.782       0.564      18.575       1.655       0.000      12.418       0.000       1.216       0.000       0.000
     67     3     8  1982    119       0  rtu1190              243.981     583.517      65.732       0.452      16.973       0.907       0.000      24.544       0.000       1.343       0.000       0.000
     67     3     8  1982    120       0  rtu1200               13.220      68.710       7.704       0.664      17.821       2.160       0.000       5.433       0.000       0.357       0.000       0.000
     67     3     8  1982    121       0  rtu1210              109.536     348.254      39.050       0.582      18.913       1.387       0.000      20.744       0.000       0.357       0.000       0.000
