 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
        jday         mon         day          yr   name        type   objtyp      typ_no hyd_typ fraction              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
                                                                                                                     m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
          67           3           8        1982 rtu0090         ru      aqu           1 rhg   1.000000       949669.1      0.0000000E+00  0.0000000E+00  0.0000000E+00   34651.62      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000006    
          67           3           8        1982 rtu0100         ru      sdc          10 tot   1.000000      2.4373650E+07   126288.9       331685.5       52661.34       16188.55       1308.915       227770.8      0.0000000E+00  0.0000000E+00  3.2836211E+10   1593698.      6.2360271E-04  6.2360271E-04  6.2360271E-04  6.2360271E-04  6.2360271E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0100         ru      aqu           1 rhg   1.000000       1829316.      0.0000000E+00  0.0000000E+00  0.0000000E+00   66674.72      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000003    
          67           3           8        1982 rtu0110         ru      sdc          11 tot   1.000000      1.3807113E+07   9433.766       78668.36       13375.52       22948.58       1048.475       59809.96      0.0000000E+00  0.0000000E+00  4.7714913E+09   1477919.      6.2361755E-04  6.2361755E-04  6.2361755E-04  6.2361755E-04  6.2361755E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0110         ru      aqu           1 rhg   1.000000       2678869.      0.0000000E+00  0.0000000E+00  0.0000000E+00   65973.74      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000002    
          67           3           8        1982 rtu0120         ru      sdc          12 tot   1.000000       8742639.       5801.616       61612.99       9976.934       21946.81       700.0239       50069.46      0.0000000E+00  0.0000000E+00  3.7424338E+09   1211543.      3.1148514E-04  3.1148514E-04  3.1148514E-04  3.1148514E-04  3.1148514E-04  0.0000000E+00   1.000001    
          67           3           8        1982 rtu0120         ru      aqu           1 rhg   1.000000       2469793.      0.0000000E+00  0.0000000E+00  0.0000000E+00   55062.02      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000002    
          67           3           8        1982 rtu0130         ru      sdc          13 tot   1.000000      3.8174080E+07   106639.5       379671.3       62174.04       45945.80       2423.451       266957.4      0.0000000E+00  0.0000000E+00  3.1782042E+10   3225782.      9.3477161E-04  9.3477161E-04  9.3477161E-04  9.3477161E-04  9.3477161E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0130         ru      aqu           2 rhg   1.000000       4890892.      0.0000000E+00  0.0000000E+00  0.0000000E+00   139528.2      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000001    
          67           3           8        1982 rtu0140         ru      sdc          14 tot   1.000000       6494232.       4737.101       50109.70       8115.916       17197.73       513.6141       40549.59      0.0000000E+00  0.0000000E+00  3.0472381E+09   906202.2      3.1181599E-04  3.1181599E-04  3.1181599E-04  3.1181599E-04  3.1181599E-04  0.0000000E+00   1.000001    
          67           3           8        1982 rtu0140         ru      aqu           2 rhg   1.000000       1837473.      0.0000000E+00  0.0000000E+00  0.0000000E+00   41015.45      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000003    
          67           3           8        1982 rtu0150         ru      sdc          15 tot   1.000000      1.1879093E+07   8477.642       89925.88       14564.23       31943.52       937.9999       73007.09      0.0000000E+00  0.0000000E+00  5.4557000E+09   1660088.      3.1109204E-04  3.1109204E-04  3.1109204E-04  3.1109204E-04  3.1109204E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0150         ru      aqu           2 rhg   1.000000       3361608.      0.0000000E+00  0.0000000E+00  0.0000000E+00   75000.57      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000002    
          67           3           8        1982 rtu0160         ru      sdc          16 tot   1.000000       8289394.       5336.388       56731.56       9185.837       20323.48       666.9213       46139.35      0.0000000E+00  0.0000000E+00  3.4457032E+09   1145461.      3.1152432E-04  3.1152432E-04  3.1152432E-04  3.1152432E-04  3.1152432E-04  0.0000000E+00   1.000001    
          67           3           8        1982 rtu0160         ru      aqu           2 rhg   1.000000       2340381.      0.0000000E+00  0.0000000E+00  0.0000000E+00   52171.71      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000002    
          67           3           8        1982 rtu0170         ru      sdc          17 tot   1.000000       1094010.       645.4203       3701.354       691.9775       536.7505       64.63347       2380.040      0.0000000E+00  0.0000000E+00  2.2178885E+08   59880.70      2.6296929E-04  2.6296929E-04  2.6296929E-04  2.6296929E-04  2.6296929E-04  0.0000000E+00   1.000005    
