 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
    67     3     8  1982      25      25  hru025                 0.000       0.000       0.000     121.811      15.507       0.000       0.000       0.000       0.000       0.000       0.000       0.000      16.989       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      26      26  hru026                 0.000       0.000       0.000     121.889      15.506       0.000       0.000       0.000       0.000       0.000       0.000       0.000      16.952       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      27      27  hru027                 0.000       0.000       0.000     120.245      15.527       0.000       0.000       0.000       0.000       0.000       0.000       0.000      17.740       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      28      28  hru028                 0.000       0.000       0.000     122.074      15.500       0.000       0.000       0.000       0.000       0.000       0.000       0.000      16.733       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      29      29  hru029                 0.000       0.000       0.000     110.603      15.062       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.119       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      30      30  hru030                 0.000       0.000       0.000     110.191      15.067       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.128       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      31      31  hru031                 0.000       0.000       0.000     122.052      15.502       0.000       0.000       0.000       0.000       0.000       0.000       0.000      16.795       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      32      32  hru032                 0.000       0.000       0.000     110.299      15.066       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.098       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      33      33  hru033                 0.000       0.000       0.000     110.287      15.066       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.104       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      34      34  hru034                 0.000       0.000       0.000     110.445      15.064       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.078       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      35      35  hru035                 0.000       0.000       0.000     110.353      15.065       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.105       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      36      36  hru036                 0.000       0.000       0.000     121.438      15.512       0.000       0.000       0.000       0.000       0.000       0.000       0.000      17.167       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      37      37  hru037                 0.000       0.000       0.000     108.494      15.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000       4.415       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      38      38  hru038                 0.000       0.000       0.000     121.880      15.506       0.000       0.000       0.000       0.000       0.000       0.000       0.000      16.954       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      39      39  hru039                 0.000       0.000       0.000     108.811      15.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000       4.353       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      40      40  hru040                 0.000       0.000       0.000     108.547      15.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000       4.410       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      41      41  hru041                 0.000       0.000       0.000     106.725      15.067       0.000       0.000       0.000       0.000       0.000       0.000       0.000       4.702       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      42      42  hru042                 0.000       0.000       0.000     122.086      15.499       0.000       0.000       0.000       0.000       0.000       0.000       0.000      16.668       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      43      43  hru043                 0.000       0.000       0.000     121.988      15.503       0.000       0.000       0.000       0.000       0.000       0.000       0.000      16.862       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      44      44  hru044                 0.000       0.000       0.000     122.008      15.503       0.000       0.000       0.000       0.000       0.000       0.000       0.000      16.813       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      45      45  hru045                 0.000       0.000       0.000     121.993      15.503       0.000       0.000       0.000       0.000       0.000       0.000       0.000      16.843       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      46      46  hru046                 0.000       0.000       0.000     121.724      15.508       0.000       0.000       0.000       0.000       0.000       0.000       0.000      17.019       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      47      47  hru047                 0.000       0.000       0.000     122.039      15.502       0.000       0.000       0.000       0.000       0.000       0.000       0.000      16.810       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      48      48  hru048                 0.000       0.000       0.000     108.747      15.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000       4.370       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      49      49  hru049                 0.000       0.000       0.000     122.057      15.501       0.000       0.000       0.000       0.000       0.000       0.000       0.000      16.769       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      50      50  hru050                 0.000       0.000       0.000     122.124      15.497       0.000       0.000       0.000       0.000       0.000       0.000       0.000      16.633       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
