 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
     67     3     8  1982     45       0  rtu0450                5.391      21.019       2.265       0.104       3.085       0.349       0.000       2.326       0.000       0.256       0.000       0.000
     67     3     8  1982     46       0  rtu0460                4.362      17.262       1.860       0.102       2.710       0.365       0.000       1.902       0.000       0.257       0.000       0.000
     67     3     8  1982     47       0  rtu0470                1.947      11.382       1.284       0.109       2.161       0.356       0.000       0.840       0.000       0.299       0.000       0.000
     67     3     8  1982     48       0  rtu0480                1.778      10.390       1.172       0.109       2.032       0.359       0.000       0.766       0.000       0.299       0.000       0.000
     67     3     8  1982     49       0  rtu0490                2.769      16.171       1.824       0.106       2.758       0.342       0.000       1.196       0.000       0.296       0.000       0.000
     67     3     8  1982     50       0  rtu0500               14.092      42.670       4.813       0.100       2.574       0.297       0.000       2.155       0.000       0.297       0.000       0.000
     67     3     8  1982     51       0  rtu0510                5.100      29.007       3.273       0.102       4.040       0.312       0.000       2.165       0.000       0.293       0.000       0.000
     67     3     8  1982     52       0  rtu0520                3.652      21.034       2.373       0.105       3.103       0.331       0.000       1.561       0.000       0.295       0.000       0.000
     67     3     8  1982     53       0  rtu0530                4.936      27.999       3.159       0.103       3.526       0.317       0.000       2.088       0.000       0.294       0.000       0.000
     67     3     8  1982     54       0  rtu0540                3.805      20.992       2.363       0.111       3.494       0.349       0.000       1.593       0.000       0.226       0.000       0.000
     67     3     8  1982     55       0  rtu0550                3.334      19.271       2.174       0.105       2.989       0.335       0.000       1.428       0.000       0.296       0.000       0.000
     67     3     8  1982     56       0  rtu0560                3.297      19.036       2.148       0.105       2.904       0.336       0.000       1.411       0.000       0.296       0.000       0.000
     67     3     8  1982     57       0  rtu0570                2.029      10.665       1.196       0.125       3.055       0.414       0.000       0.840       0.000       0.067       0.000       0.000
     67     3     8  1982     58       0  rtu0580                2.991      17.357       1.958       0.106       2.821       0.340       0.000       1.285       0.000       0.296       0.000       0.000
     67     3     8  1982     59       0  rtu0590                3.492      20.155       2.274       0.105       3.040       0.333       0.000       1.495       0.000       0.295       0.000       0.000
     67     3     8  1982     60       0  rtu0600                2.506      13.076       1.466       0.125       3.430       0.408       0.000       1.032       0.000       0.067       0.000       0.000
     67     3     8  1982     61       0  rtu0610                3.369      19.418       2.191       0.106       2.965       0.335       0.000       1.442       0.000       0.296       0.000       0.000
     67     3     8  1982     62       0  rtu0620                2.557      14.783       1.668       0.108       2.409       0.348       0.000       1.094       0.000       0.298       0.000       0.000
     67     3     8  1982     63       0  rtu0630                3.171      17.711       1.994       0.113       3.260       0.363       0.000       1.339       0.000       0.200       0.000       0.000
     67     3     8  1982     64       0  rtu0640                2.741      15.821       1.785       0.107       2.503       0.345       0.000       1.171       0.000       0.298       0.000       0.000
     67     3     8  1982     65       0  rtu0650                0.899       5.260       0.593       0.117       1.271       0.375       0.000       0.387       0.000       0.302       0.000       0.000
     67     3     8  1982     66       0  rtu0660               14.917      48.450       5.465       0.099       2.802       0.283       0.000       2.539       0.000       0.297       0.000       0.000
     67     3     8  1982     67       0  rtu0670                4.329      17.115       1.844       0.102       2.650       0.366       0.000       1.886       0.000       0.257       0.000       0.000
     67     3     8  1982     68       0  rtu0680                1.325       7.733       0.872       0.113       1.634       0.367       0.000       0.570       0.000       0.300       0.000       0.000
     67     3     8  1982     69       0  rtu0690                2.474      14.387       1.623       0.108       2.475       0.348       0.000       1.064       0.000       0.297       0.000       0.000
     67     3     8  1982     70       0  rtu0700                3.586      20.635       2.328       0.105       2.838       0.333       0.000       1.531       0.000       0.296       0.000       0.000
     67     3     8  1982     71       0  rtu0710                4.348      24.945       2.814       0.103       3.574       0.321       0.000       1.856       0.000       0.294       0.000       0.000
     67     3     8  1982     72       0  rtu0720                4.790      27.314       3.082       0.103       3.686       0.316       0.000       2.036       0.000       0.293       0.000       0.000
     67     3     8  1982     73       0  rtu0730                3.312      18.972       2.140       0.108       2.645       0.338       0.000       1.411       0.000       0.296       0.000       0.000
     67     3     8  1982     74       0  rtu0740                2.184      12.603       1.422       0.112       1.888       0.355       0.000       0.934       0.000       0.299       0.000       0.000
     67     3     8  1982     75       0  rtu0750                3.576      20.657       2.331       0.105       3.125       0.331       0.000       1.533       0.000       0.295       0.000       0.000
     67     3     8  1982     76       0  rtu0760                4.034      23.231       2.621       0.104       3.439       0.325       0.000       1.727       0.000       0.294       0.000       0.000
     67     3     8  1982     77       0  rtu0770                4.279      24.485       2.762       0.104       3.265       0.324       0.000       1.821       0.000       0.295       0.000       0.000
     67     3     8  1982     78       0  rtu0780                3.855      22.333       2.520       0.104       3.470       0.326       0.000       1.659       0.000       0.294       0.000       0.000
     67     3     8  1982     79       0  rtu0790                5.388      29.376       3.309       0.109       4.288       0.325       0.000       2.238       0.000       0.235       0.000       0.000
     67     3     8  1982     80       0  rtu0800                6.014      31.024       3.486       0.120       4.967       0.342       0.000       2.428       0.000       0.149       0.000       0.000
     67     3     8  1982     81       0  rtu0810                5.944      32.406       3.651       0.107       4.446       0.315       0.000       2.464       0.000       0.246       0.000       0.000
     67     3     8  1982     82       0  rtu0820                3.762      21.758       2.455       0.104       3.348       0.328       0.000       1.615       0.000       0.295       0.000       0.000
     67     3     8  1982     83       0  rtu0830                3.460      20.068       2.264       0.105       3.158       0.332       0.000       1.488       0.000       0.295       0.000       0.000
     67     3     8  1982     84       0  rtu0840               22.315      48.279       5.413       0.117       5.195       0.323       0.000       2.747       0.000       0.067       0.000       0.000
     67     3     8  1982     85       0  rtu0850               22.412      70.029       7.852       0.108       3.060       0.249       0.000       4.028       0.000       0.067       0.000       0.000
     67     3     8  1982     86       0  rtu0860                3.241      18.572       2.095       0.108       2.575       0.339       0.000       1.380       0.000       0.297       0.000       0.000
     67     3     8  1982     87       0  rtu0870                3.669      21.143       2.385       0.105       3.118       0.331       0.000       1.569       0.000       0.295       0.000       0.000
     67     3     8  1982     88       0  rtu0880                1.601       8.434       0.946       0.126       2.614       0.420       0.000       0.664       0.000       0.067       0.000       0.000
     67     3     8  1982     89       0  rtu0890               22.521      70.215       7.873       0.108       3.241       0.249       0.000       4.010       0.000       0.067       0.000       0.000
     67     3     8  1982     90       0  rtu0900                2.249      13.153       1.484       0.114       2.373       0.365       0.000       0.973       0.000       0.309       0.000       0.000
     67     3     8  1982     91       0  rtu0910                2.967      17.130       1.933       0.107       2.675       0.341       0.000       1.270       0.000       0.297       0.000       0.000
     67     3     8  1982     92       0  rtu0920               25.050      82.928       9.299       0.104       2.836       0.209       0.000       4.955       0.000       0.067       0.000       0.000
     67     3     8  1982     93       0  rtu0930                2.435      14.187       1.600       0.108       2.471       0.348       0.000       1.049       0.000       0.297       0.000       0.000
     67     3     8  1982     94       0  rtu0940               14.049      55.884       6.266       0.112       2.080       0.285       0.000       3.936       0.000       0.067       0.000       0.000
     67     3     8  1982     95       0  rtu0950                2.688      15.599       1.760       0.107       2.588       0.345       0.000       1.155       0.000       0.297       0.000       0.000
     67     3     8  1982     96       0  rtu0960                1.270       6.747       0.756       0.126       2.360       0.424       0.000       0.530       0.000       0.067       0.000       0.000
     67     3     8  1982     97       0  rtu0970                3.854      22.215       2.506       0.104       3.297       0.327       0.000       1.650       0.000       0.295       0.000       0.000
     67     3     8  1982     98       0  rtu0980                1.283       6.802       0.763       0.126       2.308       0.424       0.000       0.534       0.000       0.067       0.000       0.000
     67     3     8  1982     99       0  rtu0990                2.439      14.135       1.595       0.108       2.379       0.349       0.000       1.046       0.000       0.298       0.000       0.000
     67     3     8  1982    100       0  rtu1000               99.522     143.516      16.091       0.084       5.406       0.102       0.000       5.496       0.000       0.067       0.000       0.000
     67     3     8  1982    101       0  rtu1010                3.052      15.863       1.779       0.125       3.885       0.400       0.000       1.253       0.000       0.067       0.000       0.000
     67     3     8  1982    102       0  rtu1020                4.530      17.842       1.923       0.102       2.682       0.363       0.000       1.968       0.000       0.257       0.000       0.000
     67     3     8  1982    103       0  rtu1030               16.488      57.236       6.417       0.111       2.206       0.283       0.000       3.659       0.000       0.067       0.000       0.000
     67     3     8  1982    104       0  rtu1040                3.550      14.188       1.529       0.104       2.388       0.379       0.000       1.558       0.000       0.257       0.000       0.000
     67     3     8  1982    105       0  rtu1050                3.237      12.966       1.397       0.105       2.225       0.384       0.000       1.423       0.000       0.257       0.000       0.000
     67     3     8  1982    106       0  rtu1060                3.201      18.648       2.104       0.105       3.044       0.335       0.000       1.382       0.000       0.295       0.000       0.000
     67     3     8  1982    107       0  rtu1070               11.849      40.964       4.593       0.116       1.969       0.330       0.000       2.590       0.000       0.067       0.000       0.000
     67     3     8  1982    108       0  rtu1080                3.303      19.111       2.156       0.105       2.956       0.335       0.000       1.416       0.000       0.296       0.000       0.000
     67     3     8  1982    109       0  rtu1090               13.076      45.827       5.138       0.115       2.709       0.314       0.000       2.886       0.000       0.067       0.000       0.000
     67     3     8  1982    110       0  rtu1100                4.385      17.314       1.866       0.102       2.652       0.366       0.000       1.908       0.000       0.257       0.000       0.000
     67     3     8  1982    111       0  rtu1110                2.945      17.069       1.926       0.106       2.708       0.340       0.000       1.263       0.000       0.296       0.000       0.000
     67     3     8  1982    112       0  rtu1120                0.807       4.300       0.482       0.126       1.770       0.431       0.000       0.337       0.000       0.067       0.000       0.000
     67     3     8  1982    113       0  rtu1130               10.482      33.637       3.772       0.119       3.722       0.353       0.000       2.016       0.000       0.067       0.000       0.000
     67     3     8  1982    114       0  rtu1140                1.873       9.814       1.100       0.126       2.813       0.417       0.000       0.773       0.000       0.067       0.000       0.000
     67     3     8  1982    115       0  rtu1150               19.861      46.135       5.173       0.115       3.321       0.322       0.000       2.205       0.000       0.067       0.000       0.000
     67     3     8  1982    116       0  rtu1160                1.312       6.941       0.778       0.126       2.306       0.424       0.000       0.545       0.000       0.067       0.000       0.000
     67     3     8  1982    117       0  rtu1170                4.570      26.135       2.949       0.103       3.661       0.319       0.000       1.946       0.000       0.294       0.000       0.000
     67     3     8  1982    118       0  rtu1180               11.391      39.908       4.496       0.107       3.511       0.313       0.000       2.347       0.000       0.230       0.000       0.000
     67     3     8  1982    119       0  rtu1190               46.122     110.309      12.426       0.085       3.209       0.171       0.000       4.640       0.000       0.254       0.000       0.000
     67     3     8  1982    120       0  rtu1200                2.499      12.989       1.456       0.125       3.369       0.408       0.000       1.027       0.000       0.067       0.000       0.000
