 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
    67     3     8  1982      10      10  cha010               0.1706E+05     0.3217E+06     0.8142E+05     0.3224E+05     0.3877E+06     0.5635E+03     0.1714E+04     0.2896E+03     0.2279E+03     0.2370E+03     0.1251E+04     0.1233E+03     0.2390E+03     0.7269E+08     0.1284E-34     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.3273E+02     0.2066E+06     0.9040E+06     0.1519E+06     0.2840E+06     0.1032E+06     0.7766E+06     0.3842E+05     0.7644E+05     0.5098E+11     0.1604E+07     0.6236E-03     0.6236E-03     0.6236E-03     0.6236E-03     0.6236E-03     0.0000E+00     0.1581E+01     0.3254E+02     0.2060E+06     0.8251E+06     0.1404E+06     0.2979E+06     0.1458E+06     0.7727E+06     0.7322E+05     0.9719E+05     0.3465E+11     0.8566E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1580E+01     0.1936E+02
    67     3     8  1982      11      11  cha011               0.1032E+05     0.1945E+06     0.4925E+05     0.1950E+05     0.2377E+06     0.1692E+03     0.1195E+04     0.2024E+03     0.1477E+03     0.1422E+03     0.8258E+03     0.7163E+02     0.1567E+03     0.3051E+08     0.1116E-32     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.2095E+02     0.6485E+05     0.5246E+06     0.8870E+05     0.2398E+06     0.7308E+05     0.4898E+06     0.2445E+05     0.6259E+05     0.1936E+11     0.1509E+07     0.6236E-03     0.6236E-03     0.6236E-03     0.6236E-03     0.6236E-03     0.0000E+00     0.1667E+01     0.2084E+02     0.6458E+05     0.4865E+06     0.8309E+05     0.2497E+06     0.9537E+05     0.4942E+06     0.3565E+05     0.7397E+05     0.1429E+11     0.9606E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1667E+01     0.1936E+02
    67     3     8  1982      12      12  cha012               0.7011E+04     0.1322E+06     0.3347E+05     0.1325E+05     0.1576E+06     0.1107E+03     0.8070E+03     0.1357E+03     0.8774E+02     0.8213E+02     0.5213E+03     0.3828E+02     0.1024E+03     0.2159E+08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.1771E+02     0.5331E+05     0.4470E+06     0.7507E+05     0.2004E+06     0.5616E+05     0.4069E+06     0.1749E+05     0.5490E+05     0.1671E+11     0.1219E+07     0.3115E-03     0.3115E-03     0.3115E-03     0.3115E-03     0.3115E-03     0.0000E+00     0.1769E+01     0.1764E+02     0.5315E+05     0.4217E+06     0.7140E+05     0.2073E+06     0.7143E+05     0.4107E+06     0.2428E+05     0.6259E+05     0.1318E+11     0.7653E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1769E+01     0.1936E+02
    67     3     8  1982      13      13  cha013               0.2903E+05     0.5476E+06     0.1386E+06     0.5489E+05     0.7211E+06     0.1250E+04     0.4645E+04     0.7358E+03     0.6683E+03     0.5897E+03     0.3359E+04     0.4735E+03     0.6066E+03     0.1594E+09     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.4128E+02     0.2983E+06     0.1580E+07     0.2596E+06     0.4981E+06     0.1726E+06     0.1381E+07     0.5025E+05     0.1847E+06     0.7578E+11     0.3243E+07     0.9348E-03     0.9348E-03     0.9348E-03     0.9348E-03     0.9348E-03     0.0000E+00     0.1526E+01     0.4094E+02     0.2965E+06     0.1380E+07     0.2310E+06     0.5445E+06     0.2700E+06     0.1387E+07     0.1714E+06     0.1903E+06     0.4578E+11     0.4476E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1527E+01     0.1936E+02
    67     3     8  1982      14      14  cha014               0.4352E+04     0.8208E+05     0.2078E+05     0.8228E+04     0.1044E+06     0.1668E+03     0.7971E+03     0.1235E+03     0.6646E+02     0.6837E+02     0.4913E+03     0.2934E+02     0.1094E+03     0.2897E+08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.2790E+02     0.1884E+06     0.1195E+07     0.1959E+06     0.3598E+06     0.1485E+06     0.1071E+07     0.8390E+05     0.1312E+06     0.4702E+11     0.9151E+06     0.3118E-03     0.3118E-03     0.3118E-03     0.3118E-03     0.3118E-03     0.0000E+00     0.1615E+01     0.2786E+02     0.1882E+06     0.1164E+07     0.1916E+06     0.3676E+06     0.1691E+06     0.1086E+07     0.4944E+05     0.1847E+06     0.4204E+11     0.8869E-13     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1615E+01     0.1936E+02
    67     3     8  1982      15      15  cha015               0.1063E+05     0.2005E+06     0.5076E+05     0.2010E+05     0.2410E+06     0.3722E+03     0.1930E+04     0.2978E+03     0.1616E+03     0.1683E+03     0.1200E+04     0.1258E+03     0.2356E+03     0.6689E+08     0.7998E-36     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.1943E+02     0.1278E+06     0.9515E+06     0.1534E+06     0.2902E+06     0.9128E+05     0.8343E+06     0.8369E+05     0.5770E+05     0.4174E+11     0.1668E+07     0.3111E-03     0.3111E-03     0.3111E-03     0.3111E-03     0.3111E-03     0.0000E+00     0.1626E+01     0.1932E+02     0.1273E+06     0.8822E+06     0.1437E+06     0.2996E+06     0.1306E+06     0.8343E+06     0.6942E+05     0.1223E+06     0.3051E+11     0.8900E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1629E+01     0.1936E+02
    67     3     8  1982      16      16  cha016               0.6278E+04     0.1184E+06     0.2997E+05     0.1187E+05     0.1301E+06     0.1045E+03     0.7935E+03     0.1325E+03     0.8122E+02     0.6985E+02     0.4829E+03     0.5255E+02     0.1020E+03     0.2121E+08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.1284E+02     0.4336E+05     0.3931E+06     0.6513E+05     0.1979E+06     0.3965E+05     0.3474E+06     0.5684E+05     0.7504E+04     0.1530E+11     0.1151E+07     0.3115E-03     0.3115E-03     0.3115E-03     0.3115E-03     0.3115E-03     0.0000E+00     0.1970E+01     0.1279E+02     0.4321E+05     0.3694E+06     0.6173E+05     0.1990E+06     0.5363E+05     0.3454E+06     0.2790E+05     0.5535E+05     0.1174E+11     0.5946E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1973E+01     0.1936E+02
    67     3     8  1982      17      17  cha017               0.8015E+03     0.1512E+05     0.3826E+04     0.1515E+04     0.1082E+05     0.6246E+01     0.2470E+02     0.4663E+01     0.1457E+01     0.1231E+01     0.1042E+02     0.7424E+00     0.5906E+00     0.1115E+07     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.7677E+01     0.1576E+05     0.8697E+05     0.1635E+05     0.1814E+05     0.5852E+04     0.5516E+05     0.4251E+04     0.1020E+02     0.4109E+10     0.9433E+05     0.2630E-03     0.2630E-03     0.2630E-03     0.2630E-03     0.2630E-03     0.0000E+00     0.4908E+01     0.7673E+01     0.1576E+05     0.8587E+05     0.1618E+05     0.1815E+05     0.6494E+04     0.5470E+05     0.2763E+04     0.2467E+04     0.3850E+10     0.6224E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4906E+01     0.1936E+02
    67     3     8  1982      18      18  cha018               0.3067E+04     0.5784E+05     0.1464E+05     0.5797E+04     0.4673E+05     0.9674E+02     0.3089E+03     0.4699E+02     0.1458E+02     0.1091E+02     0.1417E+03     0.1424E+02     0.7451E+01     0.1742E+08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.7475E+01     0.5639E+05     0.2770E+06     0.4627E+05     0.4355E+05     0.9494E+04     0.2009E+06     0.1040E+05     0.2382E+02     0.1703E+11     0.1162E+07     0.6238E-03     0.6238E-03     0.6238E-03     0.6238E-03     0.6238E-03     0.0000E+00     0.5365E+01     0.7459E+01     0.5632E+05     0.2623E+06     0.4413E+05     0.4300E+05     0.1737E+05     0.1959E+06     0.1448E+05     0.8923E+04     0.1347E+11     0.7849E-09     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5361E+01     0.1936E+02
    67     3     8  1982      19      19  cha019               0.1752E+04     0.3304E+05     0.8364E+04     0.3312E+04     0.2017E+05     0.8462E+02     0.2058E+03     0.2802E+02     0.5908E+01     0.4051E+01     0.8759E+02     0.8945E+01     0.8624E-03     0.1630E+08     0.1301E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.3064E+01     0.4423E+05     0.2034E+06     0.3286E+05     0.1731E+05     0.1077E+04     0.1518E+06     0.0000E+00     0.0000E+00     0.1582E+11     0.1235E+07     0.1248E-02     0.1248E-02     0.1248E-02     0.1248E-02     0.1248E-02     0.0000E+00     0.1246E+02     0.3057E+01     0.4420E+05     0.1922E+06     0.3130E+05     0.1683E+05     0.7207E+04     0.1411E+06     0.9751E+04     0.2372E+02     0.1224E+11     0.2707E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1245E+02     0.1936E+02
