 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
     67     3     8  1982     25       0  rtu0250                0.000       0.000       0.000     121.895      15.505       0.000       0.000       0.000       0.000       0.000       0.000       0.000      89.436       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     26       0  rtu0260                0.000       0.000       0.000     121.988      15.503       0.000       0.000       0.000       0.000       0.000       0.000       0.000      89.196       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     27       0  rtu0270                0.000       0.000       0.000     109.997      15.070       0.000       0.000       0.000       0.000       0.000       0.000       0.000      69.988       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     28       0  rtu0280                0.000       0.000       0.000     109.950      15.071       0.000       0.000       0.000       0.000       0.000       0.000       0.000      70.071       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     29       0  rtu0290                0.000       0.000       0.000     121.366      15.513       0.000       0.000       0.000       0.000       0.000       0.000       0.000      91.031       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     30       0  rtu0300                0.000       0.000       0.000     109.768      15.074       0.000       0.000       0.000       0.000       0.000       0.000       0.000      71.012       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     31       0  rtu0310                0.000       0.000       0.000     113.788      15.287       0.000       0.000       0.000       0.000       0.000       0.000       0.000      74.843       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     32       0  rtu0320                0.000       0.000       0.000      73.682      14.968       0.000       0.000       0.000       0.000       0.000       0.000       0.000      66.405       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     33       0  rtu0330                0.000       0.000       0.000      74.531      14.967       0.000       0.000       0.000       0.000       0.000       0.000       0.000      65.787       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     34       0  rtu0340                0.000       0.000       0.000      74.451      14.967       0.000       0.000       0.000       0.000       0.000       0.000       0.000      65.963       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     35       0  rtu0350                0.000       0.000       0.000     110.697      15.061       0.000       0.000       0.000       0.000       0.000       0.000       0.000      70.175       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     36       0  rtu0360                0.000       0.000       0.000     110.610      15.062       0.000       0.000       0.000       0.000       0.000       0.000       0.000      69.572       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     37       0  rtu0370                0.000       0.000       0.000     110.235      15.067       0.000       0.000       0.000       0.000       0.000       0.000       0.000      69.585       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     38       0  rtu0380                0.000       0.000       0.000     110.314      15.066       0.000       0.000       0.000       0.000       0.000       0.000       0.000      69.388       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     39       0  rtu0390                0.000       0.000       0.000     110.472      15.064       0.000       0.000       0.000       0.000       0.000       0.000       0.000      69.790       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     40       0  rtu0400                0.000       0.000       0.000      73.570      14.968       0.000       0.000       0.000       0.000       0.000       0.000       0.000      66.382       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     41       0  rtu0410                0.000       0.000       0.000     110.584      15.062       0.000       0.000       0.000       0.000       0.000       0.000       0.000      69.746       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     42       0  rtu0420                0.000       0.000       0.000     110.571      15.062       0.000       0.000       0.000       0.000       0.000       0.000       0.000      69.645       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     43       0  rtu0430                0.000       0.000       0.000     104.614      15.045       0.000       0.000       0.000       0.000       0.000       0.000       0.000      69.093       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     44       0  rtu0440                0.000       0.000       0.000      81.265      15.023       0.000       0.000       0.000       0.000       0.000       0.000       0.000      66.825       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     45       0  rtu0450                0.000       0.000       0.000      75.161      14.967       0.000       0.000       0.000       0.000       0.000       0.000       0.000      65.327       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     46       0  rtu0460                0.000       0.000       0.000      73.295      14.968       0.000       0.000       0.000       0.000       0.000       0.000       0.000      66.500       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
