 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwsoiln          gwsoilp      
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
    67     3     8  1982      31       0  rtu0310                0.000       0.000       1.189       1.020            0.000            0.000            0.000            6.702           10.298           -2.059            1.738            0.526            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      32       0  rtu0320                0.000       0.000       2.265       1.501            0.000            0.000            0.000            8.357           13.810           -3.359            2.335            0.487            0.093            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      33       0  rtu0330                0.000       0.000       2.331       1.492            0.000            0.000            0.000            8.286           13.816           -3.356            2.337            0.486            0.092            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      34       0  rtu0340                0.000       0.000       2.416       1.479            0.000            0.000            0.000            8.308           13.808           -3.357            2.335            0.486            0.092            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      35       0  rtu0350                0.000       0.000       2.806       1.897            0.000            0.000            0.000           12.466           17.898           -3.758            3.042            0.526            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      36       0  rtu0360                0.000       0.000       2.796       1.898            0.000            0.000            0.000           12.347           17.897           -3.760            3.042            0.526            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      37       0  rtu0370                0.000       0.000       2.641       1.923            0.000            0.000            0.000           12.273           17.899           -3.774            3.042            0.524            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      38       0  rtu0380                0.000       0.000       3.523       1.753            0.000            0.000            0.000           12.256           17.757           -3.789            3.020            0.525            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      39       0  rtu0390                0.000       0.000       2.729       1.908            0.000            0.000            0.000           12.356           17.899           -3.765            3.042            0.525            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      40       0  rtu0400                0.000       0.000       2.290       1.497            0.000            0.000            0.000            8.354           13.806           -3.359            2.335            0.487            0.093            0.000            0.000            0.000            0.000            0.000            0.000
