ID,NAME,LAT,LONG,ELEVATION
169,169_PCP,36.597,-5.254,668
170,170_PCP,36.597,-5.192,784
171,171_PCP,36.596,-5.13,893
172,172_PCP,36.596,-5.068,853
173,173_PCP,36.596,-5.006,701
174,174_PCP,36.595,-4.944,601
175,175_PCP,36.594,-4.882,582
176,176_PCP,36.594,-4.819,522
177,177_PCP,36.593,-4.757,404
178,178_PCP,36.592,-4.695,331
179,179_PCP,36.592,-4.633,300
180,180_PCP,36.591,-4.571,215
181,181_PCP,36.649,-6.373,9
182,182_PCP,36.65,-6.311,19
183,183_PCP,36.65,-6.249,27
184,184_PCP,36.65,-6.187,29
185,185_PCP,36.65,-6.124,32
186,186_PCP,36.65,-6.062,40
187,187_PCP,36.65,-6,50
188,188_PCP,36.65,-5.938,57
189,189_PCP,36.65,-5.876,80
190,190_PCP,36.65,-5.813,128
191,191_PCP,36.65,-5.751,186
192,192_PCP,36.65,-5.689,218
193,193_PCP,36.649,-5.627,236
194,194_PCP,36.649,-5.565,285
195,195_PCP,36.649,-5.503,417
196,196_PCP,36.649,-5.44,636
197,197_PCP,36.648,-5.378,820
198,198_PCP,36.648,-5.316,849
199,199_PCP,36.648,-5.254,791
200,200_PCP,36.647,-5.192,831
201,201_PCP,36.647,-5.13,1004
202,202_PCP,36.646,-5.067,1125
203,203_PCP,36.645,-5.005,1026
204,204_PCP,36.645,-4.943,773
205,205_PCP,36.644,-4.881,548
206,206_PCP,36.644,-4.819,407
207,207_PCP,36.643,-4.756,331
208,208_PCP,36.642,-4.694,321
209,209_PCP,36.642,-4.632,331
210,210_PCP,36.641,-4.57,256
211,211_PCP,36.64,-4.508,102
212,212_PCP,36.699,-6.373,19
213,213_PCP,36.7,-6.311,31
214,214_PCP,36.7,-6.249,40
215,215_PCP,36.7,-6.187,42
216,216_PCP,36.7,-6.124,40
217,217_PCP,36.7,-6.062,45
218,218_PCP,36.7,-6,60
219,219_PCP,36.7,-5.938,68
220,220_PCP,36.7,-5.876,73
221,221_PCP,36.7,-5.813,94
222,222_PCP,36.7,-5.751,140
223,223_PCP,36.7,-5.689,194
224,224_PCP,36.699,-5.627,228
225,225_PCP,36.699,-5.564,272
226,226_PCP,36.699,-5.502,420
227,227_PCP,36.699,-5.44,703
228,228_PCP,36.698,-5.378,949
229,229_PCP,36.698,-5.316,975
230,230_PCP,36.697,-5.253,843
231,231_PCP,36.697,-5.191,802
232,232_PCP,36.697,-5.129,973
233,233_PCP,36.696,-5.067,1195
234,234_PCP,36.696,-5.004,1185
235,235_PCP,36.695,-4.942,880
236,236_PCP,36.694,-4.88,502
237,237_PCP,36.694,-4.818,262
238,238_PCP,36.693,-4.756,186
239,239_PCP,36.692,-4.693,199
240,240_PCP,36.691,-4.631,213
241,241_PCP,36.691,-4.569,171
242,242_PCP,36.69,-4.507,88
243,243_PCP,36.749,-6.374,21
244,244_PCP,36.75,-6.311,34
245,245_PCP,36.75,-6.249,42
246,246_PCP,36.75,-6.187,44
247,247_PCP,36.75,-6.125,42
248,248_PCP,36.75,-6.062,55
249,249_PCP,36.75,-6,80
250,250_PCP,36.75,-5.938,91
251,251_PCP,36.75,-5.875,93
252,252_PCP,36.75,-5.813,109
253,253_PCP,36.75,-5.751,150
254,254_PCP,36.75,-5.689,190
255,255_PCP,36.749,-5.626,225
256,256_PCP,36.749,-5.564,303
257,257_PCP,36.749,-5.502,495
258,258_PCP,36.749,-5.44,765
259,259_PCP,36.748,-5.377,937
260,260_PCP,36.748,-5.315,910
261,261_PCP,36.748,-5.253,773
262,262_PCP,36.747,-5.191,722
263,263_PCP,36.746,-5.128,864
264,264_PCP,36.746,-5.066,1076
265,265_PCP,36.745,-5.004,1118
266,266_PCP,36.745,-4.941,913
267,267_PCP,36.744,-4.879,588
268,268_PCP,36.744,-4.817,310
269,269_PCP,36.743,-4.755,164
270,270_PCP,36.742,-4.692,140
271,271_PCP,36.742,-4.63,148
272,272_PCP,36.741,-4.568,130
273,273_PCP,36.74,-4.506,119
274,274_PCP,36.739,-4.443,150
275,275_PCP,36.738,-4.381,210
276,276_PCP,36.737,-4.319,254
277,277_PCP,36.736,-4.257,243
278,278_PCP,36.735,-4.194,163
279,279_PCP,36.734,-4.132,60
280,280_PCP,36.722,-3.51,115
281,281_PCP,36.72,-3.448,199
282,282_PCP,36.719,-3.385,182
283,283_PCP,36.702,-2.763,40
284,284_PCP,36.7,-2.701,18
285,285_PCP,36.8,-6.312,24
286,286_PCP,36.8,-6.249,31
287,287_PCP,36.8,-6.187,31
288,288_PCP,36.8,-6.125,34
289,289_PCP,36.8,-6.062,57
290,290_PCP,36.8,-6,93
291,291_PCP,36.8,-5.938,114
292,292_PCP,36.8,-5.875,119
293,293_PCP,36.8,-5.813,137
294,294_PCP,36.8,-5.751,156
295,295_PCP,36.8,-5.688,161
296,296_PCP,36.799,-5.626,194
297,297_PCP,36.799,-5.564,314
298,298_PCP,36.799,-5.502,512
299,299_PCP,36.799,-5.439,688
300,300_PCP,36.798,-5.377,756
301,301_PCP,36.798,-5.315,729
302,302_PCP,36.797,-5.252,676
303,303_PCP,36.797,-5.19,690
304,304_PCP,36.797,-5.128,799
305,305_PCP,36.796,-5.065,919
306,306_PCP,36.795,-5.003,942
307,307_PCP,36.795,-4.941,859
308,308_PCP,36.794,-4.878,693
309,309_PCP,36.794,-4.816,456
310,310_PCP,36.793,-4.754,256
311,311_PCP,36.792,-4.692,199
312,312_PCP,36.791,-4.629,225
313,313_PCP,36.791,-4.567,225
314,314_PCP,36.79,-4.505,236
315,315_PCP,36.789,-4.442,339
316,316_PCP,36.788,-4.38,479
317,317_PCP,36.787,-4.318,523
318,318_PCP,36.786,-4.255,422
319,319_PCP,36.785,-4.193,248
320,320_PCP,36.784,-4.131,137
321,321_PCP,36.783,-4.069,156
322,322_PCP,36.782,-4.006,251
323,323_PCP,36.781,-3.944,339
324,324_PCP,36.78,-3.882,419
325,325_PCP,36.778,-3.819,481
326,326_PCP,36.777,-3.757,466
327,327_PCP,36.776,-3.695,360
328,328_PCP,36.775,-3.633,238
329,329_PCP,36.773,-3.57,213
330,330_PCP,36.772,-3.508,354
331,331_PCP,36.77,-3.446,548
332,332_PCP,36.769,-3.384,606
333,333_PCP,36.767,-3.321,502
334,334_PCP,36.766,-3.259,371
335,335_PCP,36.764,-3.197,305
336,336_PCP,36.763,-3.135,283
337,337_PCP,36.761,-3.072,241
338,338_PCP,36.759,-3.01,166
339,339_PCP,36.758,-2.948,101
340,340_PCP,36.756,-2.886,62
341,341_PCP,36.754,-2.823,39
342,342_PCP,36.752,-2.761,26
343,343_PCP,36.75,-2.699,11
344,344_PCP,36.748,-2.637,22
345,345_PCP,36.849,-6.374,6
346,346_PCP,36.85,-6.312,11
347,347_PCP,36.85,-6.249,16
348,348_PCP,36.85,-6.187,16
349,349_PCP,36.85,-6.125,19
350,350_PCP,36.85,-6.062,44
351,351_PCP,36.85,-6,80
352,352_PCP,36.85,-5.938,107
353,353_PCP,36.85,-5.875,124
354,354_PCP,36.85,-5.813,143
355,355_PCP,36.85,-5.751,150
356,356_PCP,36.85,-5.688,135
357,357_PCP,36.849,-5.626,163
358,358_PCP,36.849,-5.564,275
359,359_PCP,36.849,-5.501,424
360,360_PCP,36.849,-5.439,520
361,361_PCP,36.848,-5.376,556
362,362_PCP,36.848,-5.314,572
363,363_PCP,36.847,-5.252,613
364,364_PCP,36.847,-5.189,698
365,365_PCP,36.846,-5.127,800
366,366_PCP,36.846,-5.065,840
367,367_PCP,36.846,-5.002,800
368,368_PCP,36.845,-4.94,745
369,369_PCP,36.844,-4.878,667
370,370_PCP,36.844,-4.815,515
371,371_PCP,36.843,-4.753,355
372,372_PCP,36.842,-4.691,318
373,373_PCP,36.841,-4.628,371
374,374_PCP,36.841,-4.566,389
375,375_PCP,36.84,-4.504,404
376,376_PCP,36.839,-4.441,522
377,377_PCP,36.838,-4.379,662
378,378_PCP,36.837,-4.317,636
379,379_PCP,36.836,-4.254,433
380,380_PCP,36.835,-4.192,249
381,381_PCP,36.834,-4.13,272
382,382_PCP,36.833,-4.067,477
383,383_PCP,36.832,-4.005,694
384,384_PCP,36.831,-3.943,833
385,385_PCP,36.83,-3.88,936
386,386_PCP,36.828,-3.818,991
387,387_PCP,36.827,-3.756,928
388,388_PCP,36.826,-3.693,758
389,389_PCP,36.825,-3.631,567
390,390_PCP,36.823,-3.569,451
391,391_PCP,36.822,-3.506,512
392,392_PCP,36.82,-3.444,716
393,393_PCP,36.819,-3.382,862
394,394_PCP,36.817,-3.319,843
395,395_PCP,36.816,-3.257,760
396,396_PCP,36.814,-3.195,730
397,397_PCP,36.813,-3.133,699
398,398_PCP,36.811,-3.07,554
399,399_PCP,36.809,-3.008,370
400,400_PCP,36.808,-2.946,347
401,401_PCP,36.806,-2.883,482
402,402_PCP,36.804,-2.821,559
403,403_PCP,36.802,-2.759,455
404,404_PCP,36.8,-2.697,277
405,405_PCP,36.798,-2.634,166
406,406_PCP,36.784,-2.198,78
407,407_PCP,36.782,-2.136,122
408,408_PCP,36.899,-6.437,3
409,409_PCP,36.899,-6.374,5
410,410_PCP,36.9,-6.312,5
411,411_PCP,36.9,-6.25,5
412,412_PCP,36.9,-6.187,6
413,413_PCP,36.9,-6.125,11
414,414_PCP,36.9,-6.062,22
415,415_PCP,36.9,-6,42
416,416_PCP,36.9,-5.938,66
417,417_PCP,36.9,-5.875,102
418,418_PCP,36.9,-5.813,137
419,419_PCP,36.9,-5.75,143
420,420_PCP,36.9,-5.688,130
421,421_PCP,36.899,-5.626,150
422,422_PCP,36.899,-5.563,228
423,423_PCP,36.899,-5.501,329
424,424_PCP,36.899,-5.438,402
425,425_PCP,36.898,-5.376,442
426,426_PCP,36.898,-5.314,477
427,427_PCP,36.898,-5.251,554
428,428_PCP,36.897,-5.189,683
429,429_PCP,36.897,-5.126,792
430,430_PCP,36.896,-5.064,797
