"fecha","chalaco","chusis","huamarca","huancabamba","miraflores"
"1981-01-01",13.4275217056274,20.3866500854492,15.2182607650757,19.9573822021484,20.5998191833496
"1981-02-01",14.7885932922363,22.7620906829834,16.6604328155518,21.6087894439697,23.0086097717285
"1981-03-01",14.2266139984131,21.9107894897461,16.3557987213135,21.3120574951172,22.7209815979004
"1981-04-01",14.4229116439819,20.1465244293213,16.1625671386719,20.3919658660889,21.0778064727783
"1981-05-01",14.3431911468506,18.0743999481201,15.1937227249146,18.5211887359619,18.7579612731934
"1981-06-01",14.5029230117798,17.3724021911621,14.4495973587036,17.0674114227295,17.2105407714844
"1981-07-01",12.6590642929077,16.1946620941162,13.4786672592163,16.4085807800293,15.9222450256348
"1981-08-01",13.0232667922974,16.0208053588867,13.9075374603271,16.5321922302246,15.7057943344116
"1981-09-01",12.9434566497803,16.2071781158447,14.0140895843506,17.2482795715332,16.1240863800049
"1981-10-01",13.665696144104,17.1055583953857,14.5746822357178,18.0963039398193,17.1967105865479
"1981-11-01",13.1015043258667,17.6359786987305,14.4305191040039,18.5930690765381,17.8505401611328
"1981-12-01",14.1414403915405,19.2993469238281,15.5160789489746,19.639986038208,19.6815948486328
"1982-01-01",13.7580947875977,20.6750926971436,15.4902610778809,20.1315498352051,20.8524284362793
"1982-02-01",14.3376522064209,21.6952114105225,16.2219829559326,20.8489570617676,22.0499134063721
"1982-03-01",14.5272941589355,20.6163291931152,16.5359725952148,20.525074005127,21.5555686950684
"1982-04-01",13.6769857406616,19.5404682159424,15.4917154312134,19.9095935821533,20.480598449707
"1982-05-01",14.6775608062744,18.8489856719971,15.4830713272095,19.1319179534912,19.4183940887451
"1982-06-01",14.611834526062,18.0931549072266,14.7243309020996,17.6606311798096,17.9263381958008
"1982-07-01",13.612174987793,17.9512538909912,14.3491497039795,17.8483791351318,17.4813003540039
"1982-08-01",13.706714630127,17.5902233123779,14.3878898620605,17.5401973724365,17.0013523101807
"1982-09-01",14.1593151092529,17.7917556762695,15.0889911651611,18.7777347564697,17.4428195953369
"1982-10-01",14.0530338287354,19.2651901245117,15.044171333313,19.7460327148438,19.1204624176025
"1982-11-01",14.0809955596924,18.2824478149414,15.2891988754272,19.0718612670898,18.5956039428711
"1982-12-01",15.4520540237427,23.741340637207,16.8370685577393,22.693323135376,23.4267978668213
"1983-01-01",16.1565723419189,24.7992858886719,17.8160514831543,23.2923049926758,24.4664173126221
"1983-02-01",15.3964900970459,25.0042839050293,17.5341548919678,23.3132419586182,25.0312480926514
"1983-03-01",15.5331315994263,24.4398365020752,17.829080581665,23.1051158905029,24.8858585357666
"1983-04-01",15.199426651001,24.2380695343018,17.0005264282227,23.0591087341309,24.3637313842773
"1983-05-01",15.788200378418,24.6239318847656,16.6819152832031,22.9202728271484,24.1348857879639
"1983-06-01",14.6210021972656,18.8757915496826,14.9600162506104,18.2413139343262,18.5688056945801
"1983-07-01",13.9258508682251,19.5176372528076,15.0954151153564,19.3427600860596,19.0552272796631
"1983-08-01",13.5236320495605,19.1228275299072,14.8123025894165,18.9340572357178,18.5644245147705
"1983-09-01",13.4160003662109,18.195011138916,14.696647644043,18.8487796783447,18.0461044311523
"1983-10-01",14.0330123901367,18.7389240264893,14.9054727554321,19.3047943115234,18.6306457519531
"1983-11-01",14.006664276123,18.900749206543,15.2096252441406,19.4476432800293,19.0323162078857
"1983-12-01",13.8722095489502,20.2134799957275,15.3017148971558,19.9931926727295,20.3395118713379
"1984-01-01",12.6670713424683,20.4378795623779,14.5700073242188,19.6915130615234,20.5152492523193
"1984-02-01",13.9710569381714,22.2643375396729,15.9417400360107,21.0797882080078,22.489688873291
"1984-03-01",13.8780269622803,21.2779560089111,16.0230178833008,20.7116260528564,22.0452499389648
"1984-04-01",13.6765375137329,20.0345478057861,15.5506048202515,20.1921005249023,20.8969039916992
"1984-05-01",13.3899717330933,17.898250579834,14.3261470794678,18.2406349182129,18.4610462188721
"1984-06-01",13.9896211624146,17.6440124511719,14.2742891311646,17.3306655883789,17.4553699493408
"1984-07-01",12.3464641571045,16.8183841705322,13.3202705383301,16.8712043762207,16.4303493499756
"1984-08-01",12.6653299331665,16.3148193359375,13.7012624740601,16.5273952484131,15.9981832504272
"1984-09-01",12.5819911956787,16.7913608551025,13.8411560058594,17.6682205200195,16.6685066223145
"1984-10-01",12.9098205566406,17.3097038269043,14.0233211517334,18.1912460327148,17.3344898223877
"1984-11-01",11.4669771194458,16.9572238922119,13.0214872360229,17.7896575927734,17.1700592041016
"1984-12-01",13.2392816543579,19.3386039733887,14.8855447769165,19.5435333251953,19.6873989105225
"1985-01-01",13.6107530593872,20.3990116119385,15.1860904693604,19.8274173736572,20.554651260376
"1985-02-01",13.3088779449463,21.5145931243896,15.3522138595581,20.51051902771,21.803373336792
"1985-03-01",13.6687860488892,21.192964553833,15.8791341781616,20.6959323883057,22.0679378509521
"1985-04-01",12.9621953964233,18.8446521759033,14.8626708984375,19.3004322052002,19.7187252044678
"1985-05-01",13.0128164291382,16.7116241455078,13.9446067810059,17.2968235015869,17.3590641021729
"1985-06-01",13.177806854248,16.6563701629639,13.6208591461182,16.3604145050049,16.5055274963379
"1985-07-01",12.2738494873047,15.6962032318115,13.23486328125,15.8145246505737,15.385890007019
"1985-08-01",12.6973066329956,15.6758127212524,13.685546875,16.1903400421143,15.2982578277588
"1985-09-01",12.8187942504883,16.012228012085,14.0701303482056,16.9435367584229,16.0100479125977
"1985-10-01",12.4652767181396,16.6417350769043,13.4634895324707,17.4790897369385,16.6783866882324
