month;pcp_ave;pcp_sd;pcp_skew;wet_dry;wet_wet;pcp_days;station;tmp_max_ave;tmp_max_sd;tmp_min_ave;tmp_min_sd
8;0.288491461;1.393917768;10.81653544;0.081593928;0.068311195;158;huancabamba;28.48250522;0.674042419;17.20510885;0.907170971
9;0.457193327;1.907524438;7.379627037;0.117647059;0.069607843;191;huancabamba;29.42627668;0.620832355;17.91749684;0.67718878
10;1.461537002;4.092478649;4.704911589;0.14516129;0.205882353;370;huancabamba;29.85651588;0.580696593;18.29585775;0.741188681
11;1.705882353;4.272152876;3.724751452;0.150980392;0.204901961;363;huancabamba;30.45973142;0.438219432;18.55618901;0.707718336
12;1.747694497;3.849396112;4.023103462;0.152751423;0.313092979;492;huancabamba;30.93861908;0.39191981;19.80963834;1.040865268
1;0.13658444;0.873557475;12.61488655;0.049335863;0.048387097;103;miraflores;33.72286108;0.420217365;21.62984371;1.107756374
2;0.67962578;2.992616419;6.917508709;0.088357588;0.127858628;208;miraflores;34.50047821;0.359810442;23.13984272;0.795627004
3;1.022789374;5.640433614;10.20147777;0.089184061;0.157495256;260;miraflores;34.24649673;0.493975992;22.89999199;0.98056788
4;0.543852941;4.817104864;18.0709774;0.080392157;0.166666667;253;miraflores;32.60554949;0.628971591;21.490608;1.070559178
5;0.055237192;0.427188395;18.02240182;0.029411765;0.067362429;102;miraflores;30.53184727;0.984239924;19.69438426;1.489379005
6;0.01468106;0.102607322;11.91953107;0.017647059;0.064705882;84;miraflores;28.6347457;1.162579422;17.81792874;1.113519339
7;0.01056926;0.122996222;24.81348658;0.010436433;0.059772296;74;miraflores;27.82088137;1.082002369;16.91617423;1.165340042
8;0.002836812;0.023687141;18.0099254;0.004743833;0.028462998;35;miraflores;27.87965393;0.835597233;16.6507327;0.991618399
9;0.005721295;0.036953548;12.77129733;0.003921569;0.058823529;64;miraflores;29.0622308;0.761253855;16.90357542;0.73628673
10;0.028149905;0.223244002;15.1905161;0.027514231;0.061669829;94;miraflores;29.79103205;0.724554759;17.43211746;0.847016195
11;0.042401961;0.362222741;13.01353387;0.02745098;0.043137255;72;miraflores;30.58823527;0.609456658;17.96981838;0.794259
12;0.254582543;2.552186402;15.66037545;0.045540797;0.05028463;101;miraflores;32.26364957;0.552676373;19.95234368;1.21275909
