Año;Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Set;Oct;Nov;Dic
1982;25;0.3;0;0.2;5.7;4.5;0;0.8;0;0;3;2.7;0
1982;26;1.2;0;0.4;0;1.8;0;1.3;0;0.2;0.5;6;0
1982;27;0.6;19.3;0;0;0;0;0.5;0;1.4;3.2;0;5.6
1982;28;2.4;0;0;0;0;0;0;0;9.2;0;0;0.4
1982;29;0;;0;0;0;0;0;0;0.7;0;0;0
1982;30;0.4;;0;0.7;0;0;0;0;;0;;0
1982;31;0;;0;;0;;0;0;;1.4;;
1983;1;1.2;0;0.1;0;0;0;0;0;0.2;0.1;0;9.7
1983;2;7.3;0.3;5.9;0;0.1;1.4;0;0;0.2;1.1;0;2
1983;3;9.9;0;0;0;0;0;0;0;2.2;0.7;0;0.3
1983;4;0.7;11.6;2.2;0;0;0;0;0;0;0;0.1;18.3
1983;5;0.6;6.9;0;0.1;0.8;0;0;0;0;0;0;3.2
1983;6;3.3;0;;0;1.7;0;0;0;0;0;0;0.1
1983;7;4.7;1;;9.3;0.8;0;0;0;0;0;0;0
1983;8;2.1;5;3;0.6;0;0;0;0;0;0;6.9;0
1983;9;1.2;1;3.8;1;0;2.2;0;0;0;0;0;0
1983;10;1.4;0.5;5.7;1.3;0;0;0;0;1.6;0;15.2;0
1983;11;0.2;0;0.3;0.5;0;0;0;0;0;0;3.4;0
1983;12;0.1;0;;2.1;0;0;0;0;1.3;0.4;0;0
1983;13;0.1;0;0;2.1;0;0;0;0;0;2.5;0;0.1
1983;14;38.6;3.1;4.4;1.5;0;0;0;0;0;13.5;1.8;0
1983;15;0.2;26.6;0.4;0.1;0;0.2;0;0.1;0;12.7;0;0
1983;16;0;1.5;0.2;0.2;0;0;0.3;0.1;2.2;2.6;0;0
1983;17;0.1;0;1.8;0.8;3.6;0;1.6;0;0;7.8;0.1;0.1
1983;18;0.2;0;19.5;0;2.2;0;0;0;0;0;0;7.2
1983;19;0;0;0;0;0;0;0;0;0;0;0;0.5
1983;20;0;0;;0;0;0;0.1;0;0;0;0;0.7
1983;21;0;0;0;0;0;0;0;0;0;1.6;0.1;0
1983;22;0;0;0.3;0;0;0;0;0;0;0;0;0
1983;23;0;0;1.8;0.4;5.4;0;0;0;0;0;0;0
1983;24;0.6;0;0.4;1;1.9;0;0.2;1.1;0;8.7;0.4;1.9
1983;25;5;0;0;0.5;2.8;0;0;0;0;0;2.3;0
1983;26;4;0.1;9.1;1.8;0;0;0;0;0.1;0;0;2.8
1983;27;12.5;0;1;4.2;0.8;0;0;2;0;0;0;4.1
1983;28;32.9;0;21.8;0.4;3.3;0;0;0.4;0;0;0.1;0
1983;29;7.1;;15.5;0;1.4;0;0;0;0;0;0.1;17.4
1983;30;0;;1.3;;0;;0.6;0;0;0;1.7;0
1983;31;0.7;;;;;;0;;;0;;
1984;1;0;0.2;1.8;0;12.9;0;12.9;0;0;0;0;0
1984;2;0.1;1;0;0;5.8;0;0.3;0;0;0;0;0
1984;3;0;12.7;1.4;0.1;0;0;0;0;4.3;0;0;0
1984;4;0;26;1.9;7.5;0;0;0;0;0.3;0;0;0
1984;5;0;14.2;6.6;2;0.8;0;0;0;0;5.1;0;0.9
1984;6;0;13.1;5.2;0.8;3;0;0;0.6;0;0;0;0
1984;7;0;8.9;0.3;1;5;0;0;0;0;0;0;0
1984;8;0;5;26.8;0.4;0;0;0;0;0;0;0;0
1984;9;0;6;0.1;4.4;0;0;0;2.6;1.4;0;0;0
1984;10;0;7.4;0;2.2;0;0;0;3.9;0;0;0;0
1984;11;0;0.6;10.1;0;0;0;0;0.2;0;0;0;0
1984;12;0;0.3;0.1;11.3;0;0;0;0;0.5;5.1;0;0
1984;13;0.3;51.6;0;3.4;0;0;0;0;0;2.1;0.1;0.7
1984;14;0;15.3;0;15.1;5;0;0;0;0;4.3;0;0
1984;15;0;7.4;5.3;0.8;0;0;0;0;0;10;0;0
1984;16;1.9;20.1;0.9;2.7;0;0;0;0;0;6.6;0.2;1.8
1984;17;0.5;13.8;0;0.2;0;0;0;0;0;3.2;0;0.5
1984;18;0;7.7;0;0.1;0;0;0;0;0;3.8;3.9;5.2
1984;19;0;0.1;0;0;6;0;0;0;0;5.1;0.8;8.7
1984;20;0;0.8;0.6;0;1.9;0;0;0;0;4.1;0;3.6
1984;21;16.9;0.1;0;0;5;0;0;0;0;1;0;2.9
1984;22;0;0.7;0;1.9;2.9;0;0;0;0;0.4;0;7.1
1984;23;0;0;13.8;1.8;0;0;0;0;0;0.2;12.2;0
1984;24;0.7;0.4;1.4;5.7;0.9;0;0;0;0;0.9;15.5;0.1
1984;25;0.6;11.1;0;0.3;0.3;0;0;0;0;0.2;10.2;0
1984;26;0;6.5;2.4;0;0.1;0;0;0;0;3;17.1;0
1984;27;0.6;0.1;0;0.4;0;0;0;0;0;0;14.9;0
1984;28;1.1;0.1;0;0.6;0;0;0;0;0;0;17.3;1.1
1984;29;11.5;0.4;0.2;0;0;0;0;0;0;0;0;5
1984;30;0.3;;13.1;1.5;0;0.2;0;0;;0;1.5;0
1984;31;0;;;;0;;;0;;0;;0
1985;1;0;0.9;0;9.2;0;0;0;0;0;1.1;0;0
1985;2;0;3.3;0.7;0;0;1.9;0;0;0.1;0.6;0;0
1985;3;0;0;0.7;0;0;0;0;0;0;3.1;0;1.2
1985;4;0;0.5;2.9;0;0.8;0;0;0;0;1.5;0;0
1985;5;0;0;1.7;0;0;0;0;0;0;0.5;0;1.1
1985;6;5.4;0.3;0;0;0;0;0;0;0;0;0;1.9
1985;7;3.1;1.1;0;21.3;0;0;0;0;0;0;0;0
1985;8;0.1;0.5;0;0;0;0;0;9.8;0;0;0;0
1985;9;0.8;1.9;0;0;1.1;0;0;0;0;0.2;0;9.2
1985;10;0.8;0.9;0;0;6;0;0;0;0;0;0;8.5
1985;11;0;0;0;0;0.7;0;0;0;0;0;0;0
1985;12;1.5;0;0;0;0;0;0;0;0;0;0.2;0
1985;13;0;0;0.1;0;0.4;0;0;0;0;0;1;9.8
1985;14;0;0;0.7;0;1.5;0;0;0;1.7;0;2.8;6.8
1985;15;1.5;0;0;0;0.2;0;0;0;0;0;0;4.7
1985;16;0.5;0;0;0;0;0;0;0.4;0;0.3;0.8;2.9
1985;17;0;0;0;0;0.8;0;0;3.3;0;0.6;0.1;0
1985;18;0.3;0;0;0.3;10.4;0;0;0.5;0;2;0;0
1985;19;8.4;0;0.1;0;3.4;0;0;0.2;0;0;0;4.4
1985;20;0.9;0;0.1;0;0;0;0.4;0;0;0;0.7;9.5
1985;21;0;0;0;0;0;0;0;0.1;0;23.6;2.9;2.3
1985;22;0;0;0;0;0;0;0;0;0;3.2;0;0
1985;23;0;0;0;0;0;0;0;0;0;0.3;0;0.1
1985;24;0;0;0;0;0;0;0;0;0;0.2;0;0
1985;25;0;0;0;0;0;0;0;0;0;0;0;8.8
1985;26;0;0;1;0;0;0;0;0;0;0;0;0
1985;27;1;0;3;0;0;0;0;0;0;0;0;0
1985;28;0;0.4;0;0;0;0;2.2;0;0;0;0;0
1985;29;6.7;;0;0;0;0;0;0;0;0;0;0
1985;30;1.1;;0.4;0;0;0;1.8;0;1.1;0;0;0
1985;31;4.6;;0.4;;0;;0;;;0;;0
1986;1;0;1.1;0;0;1.6;0;0;0;0.2;0;0;0
1986;2;0;2;0;1.6;0.1;0;0;0;1.4;0;12.2;0
1986;3;2.9;0;0;0;0;0;0;0;2.3;0.4;17.3;0
