 FINAL_TRY                 SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
     1     1     1  1991      13      13  cha0013              0.2341E-01     0.0000E+00     0.2341E-01     0.2341E-01     0.4547E+02     0.4546E+02     0.0000E+00     0.0000E+00     0.1125E-01     0.3005E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1485E+01     0.0000E+00     0.0000E+00     0.1328E+03     0.0000E+00     0.1328E+03     0.5740E-02     0.2946E+02     0.2349E+00     0.1082E+02     0.1135E+04
     1     1     1  1991      14      14  cha0014              0.2157E-01     0.0000E+00     0.2157E-01     0.2157E-01     0.3820E+02     0.3889E+02     0.0000E+00     0.0000E+00     0.2656E-01     0.4958E+02     0.7164E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4443E+00     0.4304E-02     0.0000E+00     0.8665E+02     0.0000E+00     0.8665E+02     0.2768E-01     0.2176E+02     0.4306E+00     0.3357E+01     0.7621E+02
     1     1     1  1991      15      15  cha0015              0.3233E-01     0.0000E+00     0.3233E-01     0.3233E-01     0.1034E+03     0.1034E+03     0.0000E+00     0.0000E+00     0.2150E-01     0.4937E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4505E+01     0.0000E+00     0.0000E+00     0.1419E+03     0.0000E+00     0.1419E+03     0.5171E-01     0.5502E+02     0.7527E+00     0.3078E+02     0.1761E+05
     1     1     1  1991      16      16  cha0016              0.1299E+00     0.0000E+00     0.1299E+00     0.1299E+00     0.2391E+03     0.2390E+03     0.0000E+00     0.0000E+00     0.6478E-01     0.7706E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4650E+01     0.0000E+00     0.0000E+00     0.1097E+03     0.0000E+00     0.1097E+03     0.7106E+00     0.1820E+03     0.3217E+01     0.3207E+02     0.2084E+05
     1     1     1  1991      17      17  cha0017              0.1048E-02     0.0000E+00     0.1046E-02     0.1048E-02     0.4688E+00     0.6395E+00     0.0000E+00     0.0000E+00     0.4216E-03     0.4079E+00     0.1712E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3328E-02     0.1271E-02     0.0000E+00     0.4133E+01     0.0000E+00     0.4125E+01     0.1230E-02     0.3448E-01     0.1115E-01     0.3005E+00     0.8167E+00
     1     1     1  1991      18      18  cha0018              0.1481E-01     0.0000E+00     0.1481E-01     0.1481E-01     0.3180E+02     0.3201E+02     0.0000E+00     0.0000E+00     0.1978E-01     0.4843E+01     0.2337E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2642E+00     0.6342E-02     0.0000E+00     0.8844E+02     0.0000E+00     0.8844E+02     0.4036E-02     0.2068E+02     0.2761E+00     0.2051E+01     0.2565E+02
     1     1     1  1991      19      19  cha0019              0.9678E-03     0.0000E+00     0.9657E-03     0.9678E-03     0.5844E+00     0.7166E+00     0.0000E+00     0.0000E+00     0.5213E-03     0.9983E+00     0.1327E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1103E-01     0.1310E-02     0.0000E+00     0.4487E+01     0.0000E+00     0.4477E+01     0.8692E-03     0.3696E-01     0.8530E-02     0.2875E+00     0.8426E+00
     1     1     1  1991      20      20  cha0020              0.2778E-02     0.0000E+00     0.2777E-02     0.2778E-02     0.4708E+01     0.4949E+01     0.0000E+00     0.0000E+00     0.4059E-02     0.4768E+01     0.2452E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2870E-01     0.1330E-02     0.0000E+00     0.6299E+01     0.0000E+00     0.6299E+01     0.1407E-01     0.3613E+00     0.3532E-01     0.3938E+00     0.2088E+01
     1     1     1  1991      21      21  cha0021              0.2126E-02     0.0000E+00     0.2084E-02     0.2126E-02     0.1548E+01     0.1816E+01     0.0000E+00     0.0000E+00     0.1334E-02     0.0000E+00     0.2698E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1177E-02     0.0000E+00     0.5254E+01     0.0000E+00     0.5150E+01     0.1135E-01     0.8819E-01     0.3830E-01     0.3594E+00     0.1072E+01
     1     1     1  1991      22      22  cha0022              0.1184E-01     0.0000E+00     0.1184E-01     0.1184E-01     0.2499E+02     0.2793E+02     0.0000E+00     0.0000E+00     0.1136E-01     0.3829E+01     0.2951E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1744E-01     0.1178E-01     0.0000E+00     0.3870E+02     0.0000E+00     0.3869E+02     0.6467E-01     0.1148E+02     0.3219E+00     0.4012E+00     0.1636E+01
     1     1     1  1991      23      23  cha0023              0.8469E-02     0.0000E+00     0.8468E-02     0.8469E-02     0.1167E+02     0.1240E+02     0.0000E+00     0.0000E+00     0.5349E-02     0.2197E-01     0.7379E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3120E-03     0.9700E-02     0.0000E+00     0.3537E+02     0.0000E+00     0.3537E+02     0.1335E-01     0.9502E+01     0.1352E+00     0.2926E+00     0.6910E+00
     1     1     1  1991      24      24  cha0024              0.3289E-01     0.0000E+00     0.3289E-01     0.3289E-01     0.3613E+02     0.3705E+02     0.0000E+00     0.0000E+00     0.1498E-01     0.2382E+03     0.9384E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4886E+00     0.1951E-02     0.0000E+00     0.6357E+02     0.0000E+00     0.6356E+02     0.1132E+00     0.3768E+02     0.4661E+00     0.3666E+01     0.1427E+03
     1     1     1  1991      25      25  cha0025              0.1158E-02     0.0000E+00     0.1147E-02     0.1158E-02     0.1165E+01     0.1225E+01     0.0000E+00     0.0000E+00     0.1146E-02     0.0000E+00     0.6106E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6136E-03     0.0000E+00     0.6073E+01     0.0000E+00     0.6016E+01     0.3842E-02     0.5674E-01     0.1511E-01     0.2660E+00     0.4861E+00
